Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,1205000.0641493956,3.0,10706179.31979005,3615000.1924481867,3899234.214326245,8.884795643017245
Apartment Block_AB_1_Before1945,Apartment Block,1900,1398065.0453041426,3.0,14063797.666168049,4194195.1359124277,2410947.6411116477,10.059473064866259
Apartment Block_AB_2_Before1945,Apartment Block,1900,415435.98428152414,4.0,5431501.9769638255,1661743.9371260966,1656479.9449540372,13.074221257836722
Apartment Block_AB_3_Before1945,Apartment Block,1900,301584.36757935904,5.0,4909471.259345454,1507921.8378967952,995309.6222885929,16.27893149353497
Apartment Block_AB_0_1945to1969,Apartment Block,1955,690698.7104696985,3.0,6141335.395526538,2072096.1314090956,2262855.265018132,8.89148235321045
Apartment Block_AB_1_1945to1969,Apartment Block,1955,797029.1901840679,3.0,8006418.992657424,2391087.570552204,1338375.4412109586,10.045327186584473
Apartment Block_AB_2_1945to1969,Apartment Block,1955,237671.1561160199,4.0,3107365.281666698,950684.6244640796,947673.09163434,13.074221257836722
Apartment Block_AB_3_1945to1969,Apartment Block,1955,172720.48593409907,5.0,2811704.958051269,863602.4296704953,570024.112975066,16.27893149353497
Apartment Block_AB_0_1970to1979,Apartment Block,1975,169688.68444833288,3.0,1499903.9697269737,509066.0533449986,564144.5779608939,8.839151382446289
Apartment Block_AB_1_1970to1979,Apartment Block,1975,127254.37835699915,3.0,1238839.487087902,381763.13507099746,191729.23084459465,9.735142343098516
Apartment Block_AB_2_1970to1979,Apartment Block,1975,23204.3712460512,4.0,260030.71454883675,92817.4849842048,91184.30793386334,11.206109046936035
Apartment Block_AB_3_1970to1979,Apartment Block,1975,10637.634578577565,6.0,183650.64928302635,63825.80747146539,50148.290109662536,17.264237451140534
Apartment Block_AB_0_1980to1989,Apartment Block,1985,169625.5138387641,3.0,1499345.595146074,508876.5415162923,563934.5618541007,8.839151382446289
Apartment Block_AB_1_1980to1989,Apartment Block,1985,127207.00491735444,3.0,1238378.2999096783,381621.0147520633,191657.8551224952,9.735142343098516
Apartment Block_AB_2_1980to1989,Apartment Block,1985,23195.732872307904,4.0,259933.9119906812,92782.93148923162,91150.36242751438,11.206109046936035
Apartment Block_AB_3_1980to1989,Apartment Block,1985,10633.67446855088,6.0,183582.28100319303,63802.046811305285,50129.621227495416,17.264237451140534
Apartment Block_AB_0_1990to2000,Apartment Block,1995,113884.46889963,3.0,1007262.6704584021,341653.40669889,184175.3362005854,8.844600850236521
Apartment Block_AB_1_1990to2000,Apartment Block,1995,131293.28819926453,3.0,1166956.8467656034,393879.8645977936,465860.5899169503,8.888168334960938
Apartment Block_AB_2_1990to2000,Apartment Block,1995,22671.78655294291,4.0,261849.22305960915,90687.14621177164,86789.92633750266,11.549562821092271
Apartment Block_AB_3_1990to2000,Apartment Block,1995,48852.75750383589,4.0,603805.8540944473,195411.03001534357,89274.8288711411,12.359708744118217
Apartment Block_AB_0_2000to2010,Apartment Block,2005,62805.85236499694,3.0,543436.2123464984,188417.55709499083,212503.25570275934,8.652636528015137
Apartment Block_AB_1_2000to2010,Apartment Block,2005,58873.61324342072,3.0,524948.6317345159,176620.83973026215,97808.34764741038,8.916534977461746
Apartment Block_AB_2_2000to2010,Apartment Block,2005,9424.921811987031,4.0,109741.39020445583,37699.687247948124,39882.03710033757,11.643745422363281
Apartment Block_AB_3_2000to2010,Apartment Block,2005,8915.140688284291,5.0,129366.77896332601,44575.70344142146,38446.19060261199,14.510907173156737
Apartment Block_AB_0_Post2010,Apartment Block,2020,48657.62596504359,3.0,422941.9608429232,145972.87789513078,76377.67807767417,8.692202968282329
Apartment Block_AB_1_Post2010,Apartment Block,2020,55496.134029537236,3.0,489649.6387597583,166488.4020886117,199722.49697864687,8.82313060760498
Apartment Block_AB_2_Post2010,Apartment Block,2020,11966.584161668525,4.0,139335.85955375282,47866.3366466741,50637.21089897915,11.643745422363281
Apartment Block_AB_3_Post2010,Apartment Block,2020,15945.168752843543,4.0,200441.04824760518,63780.67501137417,43461.551269550284,12.570644522771827
SFH_0_Before1945_1900,Single family- Terraced houses,1900,4847205.0018848805,1.0,16309417.632863656,4847205.0018848805,6763838.051184965,3.3647055625915527
SFH_1_Before1945_1900,Single family- Terraced houses,1900,4964289.848473045,2.0,32595129.386803836,9928579.69694609,12393759.519410651,6.565919876098633
SFH_2_Before1945_1900,Single family- Terraced houses,1900,6399370.792642967,2.0,46691881.26736944,12798741.585285934,17004301.402174305,7.296323776245117
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,2715765.951071988,1.0,9137752.802268656,2715765.951071988,3789606.808631012,3.3647055625915527
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,2835260.5029945713,2.0,18626754.49562117,5670521.005989143,7029089.082819516,6.5696800967487095
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,3653994.247005257,2.0,26660725.10268733,7307988.494010514,9709332.606468158,7.296323776245117
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,1354370.7434054655,1.0,4092228.447135365,1354370.7434054655,1625166.3243665386,3.0214979665359265
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,1020741.7612425835,2.0,6390889.636621704,2041483.522485167,2520863.5692156623,6.2610249519348145
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,727775.3328216374,2.0,4976601.512809438,1455550.6656432748,1891670.8971779686,6.838101387023926
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,1353866.5469958982,1.0,4090705.018709123,1353866.5469958982,1624561.317923742,3.0214979665359265
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,1020361.7660797968,2.0,6388510.477425883,2040723.5321595937,2519925.1183765577,6.2610249519348145
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,727504.4013122505,2.0,4974748.855679311,1455008.802624501,1890966.6781307957,6.838101387023926
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,1060214.337872395,1.0,3439618.1225663857,1060214.337872395,1399101.2012812498,3.2442667484283447
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,1023949.8252038533,2.0,6479138.080700991,2047899.6504077066,2518833.1798559614,6.327593326568604
