Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,UKE41,900,4745230.796023425,934.165,-1.7979431500015324,53.77057364998683
Apartment Block,UKE42,900,8525800.09913288,938.03,-1.658870274779708,53.789568549891044
Apartment Block,UKE44,800,29036.020280682016,894.345,-2.01303906542667,53.74435406319616
Apartment Block,UKE44,900,6467950.303583847,929.33,-1.8764982998685074,53.62243280028357
Apartment Block,UKE45,900,1474581.6322115473,950.63,-1.4987755499976736,53.68129909999
Education,UKE41,900,1632957.777930046,933.575,-1.7795686711073906,53.78731707922899
Education,UKE42,900,2458473.1229273193,937.78,-1.682293763807,53.81128309904402
Education,UKE44,800,14755.675106602721,892.03503,-1.9753289550998376,53.72715328885316
Education,UKE44,900,1561210.4381668093,935.44,-1.8142790928737393,53.647474730723566
Education,UKE45,900,796339.3868499321,951.92,-1.309950370878243,53.721298886836756
Health,UKE41,900,277795.08110925555,933.11,-1.7947763806444867,53.806565872360785
Health,UKE42,900,347530.1798087172,937.44,-1.612638490427892,53.79941128807577
Health,UKE44,900,117784.86309328489,933.3,-1.8088018735617626,53.72370223030941
Health,UKE45,900,130966.70772275049,950.39,-1.4918590452292417,53.697279699078614
Hotels and Restaurants,UKE41,900,1049131.5919894632,929.29,-1.8343129500208029,53.843808749993535
Hotels and Restaurants,UKE42,900,1820790.0650788094,937.34,-1.5585205579776629,53.77924264582217
Hotels and Restaurants,UKE44,800,32977.43044138467,896.05,-2.1042754173707867,53.70781880504339
Hotels and Restaurants,UKE44,900,882894.1144897339,930.485,-1.8902278776106736,53.6701495475264
Hotels and Restaurants,UKE45,900,546467.1316151439,952.52,-1.3076619499798154,53.705054549983366
Industrial,UKE41,900,7232611.661881254,936.58,-1.7408549789754837,53.7952786482268
Industrial,UKE42,900,10804049.10641845,939.09,-1.5470224537605195,53.76382034280934
Industrial,UKE44,800,39979.530480891466,890.36,-2.1193043608415056,53.70620123865101
Industrial,UKE44,900,6974240.451072259,933.79,-1.785486308644112,53.637921815541404
Industrial,UKE45,900,5746271.15013429,950.82,-1.5135157709623914,53.664679301878515
Offices,UKE41,900,180157.73918815318,933.13,-1.8003008529049398,53.80664110289773
Offices,UKE42,900,772381.6258788616,937.405,-1.5501722270732394,53.79134739740768
Offices,UKE44,800,2138.4898861804977,897.44,-2.103618135025771,53.70873962117854
Offices,UKE44,900,163766.90385578806,932.485,-1.8268374745941311,53.641270969692336
Offices,UKE45,900,89610.93737032544,949.86,-1.514165874251645,53.68176759507309
Other non-residential buildings,UKE41,900,2050731.394298296,930.32,-1.8946629581336498,53.80632913997889
Other non-residential buildings,UKE42,900,4656681.290819036,943.495,-1.5134193512201077,53.74853805228113
Other non-residential buildings,UKE44,800,9750.186763929669,891.565,-2.1081228602689213,53.720450212957054
Other non-residential buildings,UKE44,900,2498375.826432521,934.62,-1.7821248399622323,53.639622250531296
Other non-residential buildings,UKE45,900,2894832.8937450578,950.77,-1.5006786499437972,53.67142249996899
Single family- Terraced houses,UKE41,800,1021.4265005951747,898.92,-1.8391181147090518,53.920261335399616
Single family- Terraced houses,UKE41,900,6086632.303636286,932.73,-1.85535518778054,53.765009664158235
Single family- Terraced houses,UKE42,900,32952627.712860107,939.8,-1.6399861399110005,53.760128705869874
Single family- Terraced houses,UKE44,800,263934.5614334061,893.33,-2.11353635000786,53.7248358499915
Single family- Terraced houses,UKE44,900,12888528.861151699,934.5,-1.7752229933488957,53.55985981387358
Single family- Terraced houses,UKE45,900,10914130.076774681,951.05,-1.5097138321401244,53.66227949425109
Sport,UKE41,900,90884.41797080764,932.15,-1.7704517948085385,53.81662350400555
Sport,UKE42,900,121130.7771635796,937.4,-1.555355228311726,53.78276115979879
Sport,UKE44,800,179.14753038994968,890.3,-2.107377809332924,53.720367789205135
Sport,UKE44,900,106571.546783261,932.48,-1.8395674921820024,53.67281385083957
Sport,UKE45,900,33310.83212477062,951.67,-1.3296489422493774,53.69563222983138
Trade,UKE41,900,2899787.6062510666,933.59,-1.8214304314308563,53.80577600219939
Trade,UKE42,900,8706493.761263963,937.845,-1.5364177643301808,53.79657110633801
Trade,UKE44,800,15639.551675731083,894.32,-2.1032330704630717,53.70819809343546
Trade,UKE44,900,3979997.4868321917,935.3,-1.7798677956381295,53.644642708900456
Trade,UKE45,900,2726433.6765564214,950.82,-1.5166723499952428,53.65773584993516
