Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,1526088.7444525138,3.0,13766747.457356999,4578266.233357541,5798162.510747472,9.02093505859375
Apartment Block_AB_1_Before1945,Apartment Block,1900,1165422.8385606029,3.0,10887596.896321256,3496268.5156818083,2447633.632785159,9.342185974121094
Apartment Block_AB_2_Before1945,Apartment Block,1900,678836.5625667003,4.0,7800262.18504936,2715346.250266801,2842660.372866341,11.49063355626625
Apartment Block_AB_3_Before1945,Apartment Block,1900,410465.65330913884,5.0,5583402.735147776,2052328.266545694,1597905.744419461,13.602606430367224
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1084155.3116697378,3.0,9250800.527987689,3252465.935009213,2966581.7506045303,8.532726287841797
Apartment Block_AB_1_1945to1969,Apartment Block,1955,387973.6442922452,4.0,4347394.134896569,1551894.5771689808,1669356.0985966136,11.205385208129883
Apartment Block_AB_2_1945to1969,Apartment Block,1955,355918.83582984476,4.0,4142314.265977423,1423675.343319379,1713869.1174880913,11.638367652893066
Apartment Block_AB_3_1945to1969,Apartment Block,1955,278831.985452535,4.0,3581934.107691139,1115327.94181014,684584.4605744791,12.846209526062012
Apartment Block_AB_0_1970to1979,Apartment Block,1975,113406.53643585336,3.0,974959.3951814383,340219.6093075601,420089.2178726252,8.597029993354122
Apartment Block_AB_1_1970to1979,Apartment Block,1975,81537.94910912133,3.0,759452.3643086436,244613.84732736397,185809.71151825233,9.314096964743092
Apartment Block_AB_2_1970to1979,Apartment Block,1975,31735.235878552507,4.0,364677.98447621043,126940.94351421003,155466.5879858728,11.491264343261719
Apartment Block_AB_3_1970to1979,Apartment Block,1975,19596.844701825517,5.0,278718.43821839907,97984.2235091276,85992.32837199632,14.222618103027344
Apartment Block_AB_0_1980to1989,Apartment Block,1985,113364.31818153059,3.0,974596.4435827584,340092.9545445918,419932.8297666501,8.597029993354122
Apartment Block_AB_1_1980to1989,Apartment Block,1985,81507.59468705153,3.0,759169.6402781769,244522.7840611546,185740.5394766482,9.314096964743092
Apartment Block_AB_2_1980to1989,Apartment Block,1985,31723.421689517014,4.0,364542.2245070023,126893.68675806806,155408.711886694,11.491264343261719
Apartment Block_AB_3_1980to1989,Apartment Block,1985,19589.54931480862,5.0,278614.678714944,97947.7465740431,85960.31570232919,14.222618103027344
Apartment Block_AB_0_1990to2000,Apartment Block,1995,186079.53251865474,3.0,1581051.9021525572,558238.5975559643,662040.0853589094,8.4966459274292
Apartment Block_AB_1_1990to2000,Apartment Block,1995,142238.95378086972,3.0,1460748.8134625955,426716.86134260916,380862.69137843465,10.269681930541992
Apartment Block_AB_2_1990to2000,Apartment Block,1995,39052.03583035835,4.0,448783.5603732197,156208.1433214334,174470.1094912499,11.491937637329102
Apartment Block_AB_3_1990to2000,Apartment Block,1995,10047.897829551644,6.0,168621.0191686779,60287.38697730986,61630.518573266614,16.781721115112305
Apartment Block_AB_0_2000to2010,Apartment Block,2005,59444.115316854004,3.0,506104.92656647257,178332.345950562,222623.30408772474,8.513961791992188
Apartment Block_AB_1_2000to2010,Apartment Block,2005,46045.761981579766,3.0,394290.8871711778,138137.2859447393,101340.69360395517,8.563022310911277
Apartment Block_AB_2_2000to2010,Apartment Block,2005,11859.403603637953,4.0,127780.05923913817,47437.61441455181,52826.80364468966,10.774577163386256
Apartment Block_AB_3_2000to2010,Apartment Block,2005,17799.91697660284,4.0,214514.24526940356,71199.66790641136,73075.67098190034,12.05141830444336
Apartment Block_AB_0_Post2010,Apartment Block,2020,50909.13661366617,3.0,434904.5240240709,152727.4098409985,183085.92380344062,8.542759766766975
