Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,UKF21,900,5457001.3306664135,981.06,-1.1361498982727238,52.62295229361346
Apartment Block,UKF22,900,4962551.453567617,986.63,-1.1216972855365295,52.58233538248602
Apartment Block,UKF22,1000,280587.3569565818,1006.3,-0.9152852190367604,52.479452848150004
Apartment Block,UKF24,1000,2183839.0588332163,1008.8,-0.8951881796260744,52.23416649151984
Apartment Block,UKF25,1000,4036127.969297722,1014.75,-0.696567700003426,52.29036479999292
Education,UKF21,900,1177371.1419774264,981.01,-1.1406005866520574,52.62984101948511
Education,UKF22,900,1322851.5324936993,986.81,-1.1203832278017702,52.58129813018955
Education,UKF22,1000,148068.22978157445,1006.3,-0.9261148811528499,52.47759758383956
Education,UKF24,1000,1019941.2444064742,1009.43,-1.0790617223183194,52.30317483350954
Education,UKF25,1000,898936.3661224525,1012.9,-0.5359693861254927,52.39421462287209
Health,UKF21,900,196078.2139138726,980.775,-1.1366514893629354,52.62612618276918
Health,UKF22,900,73934.98312828538,988.42,-1.3684800578485212,52.54026164896567
Health,UKF22,1000,19292.91076165624,1005.94,-0.736687837495781,52.671591789237965
Health,UKF24,1000,355292.19415882137,1008.24,-0.8848685500099338,52.23697919995828
Health,UKF25,1000,160125.87331246026,1009.3,-0.7404709208612774,52.40206116269673
Hotels and Restaurants,UKF21,900,588228.3676802424,981.12,-1.1428430220184354,52.62180604843842
Hotels and Restaurants,UKF22,900,611743.2092391081,986.6,-1.136850758046443,52.58180781942456
Hotels and Restaurants,UKF22,1000,53964.83526855917,1006.3,-0.9146067435480931,52.47946724610019
Hotels and Restaurants,UKF24,1000,200376.02821462293,1008.37,-0.8084073655473777,52.270747051391
Hotels and Restaurants,UKF25,1000,254775.94172021328,1008.68,-0.7923168120894042,52.42404952596002
Industrial,UKF21,900,4511255.271089417,980.76,-1.1157736286068025,52.616047615263234
Industrial,UKF22,900,10328430.39734123,986.27,-1.196736529011308,52.780854139435924
Industrial,UKF22,1000,903494.2232841202,1006.5,-0.9104375505783686,52.47932994969125
Industrial,UKF24,1000,8968778.573049752,1009.05,-0.8517334374820055,52.21918351611113
Industrial,UKF25,1000,10377828.748881936,1012.85,-0.5417076446952278,52.39737008270391
Offices,UKF21,900,221705.55951059726,980.76,-1.129853117510467,52.62916316845958
Offices,UKF22,900,212076.0891452646,986.14,-1.2942985000036746,52.76228309999039
Offices,UKF22,1000,8038.373146948055,1005.64,-0.966467489851073,52.47989331331579
Offices,UKF24,1000,221956.09684225614,1009.36,-0.8894865678669418,52.224626627079594
Offices,UKF25,1000,150053.93522750481,1013.24,-0.4678403601712968,52.48068584402516
Other non-residential buildings,UKF21,900,2508932.6424113754,980.76,-1.1119741499807503,52.61574259998241
Other non-residential buildings,UKF22,900,7251367.988959954,986.96,-1.138288005373874,52.575314214439906
Other non-residential buildings,UKF22,1000,381415.9295346503,1005.94,-0.733643347791262,52.66948221726221
Other non-residential buildings,UKF24,900,4458.768357442925,999.69,-1.104581999999889,52.4004532499858
Other non-residential buildings,UKF24,1000,7140171.949882862,1011.42,-0.902481999999241,52.210256199993104
Other non-residential buildings,UKF25,1000,5815406.277517818,1009.82,-0.73833918262688,52.39047144695014
Single family- Terraced houses,UKF21,900,1620150.4302135971,981.81,-1.1373091500015622,52.61283704999462
Single family- Terraced houses,UKF22,900,13286137.695817767,986.97,-1.1141760514571288,52.57769317895316
Single family- Terraced houses,UKF22,1000,1408034.0878097308,1005.94,-0.711026757958787,52.53989337122481
Single family- Terraced houses,UKF24,900,8902.23701438593,999.34,-1.0914068999999824,52.398074699994474
Single family- Terraced houses,UKF24,1000,8041306.216786571,1009.63,-0.8365525000029765,52.21981579999109
Single family- Terraced houses,UKF25,1000,11311688.199777512,1012.51,-0.7687798523012304,52.290150480572656
Sport,UKF21,900,156298.83454739116,981.19,-1.142798816484182,52.61977268673289
Sport,UKF22,900,27425.989334077574,984.095,-1.1358233991718907,52.71240587630409
Sport,UKF22,1000,1814.0897988695651,1005.55,-0.7216010171613036,52.67987939748967
Sport,UKF24,1000,71253.99348008726,1012.595,-0.9711130415159335,52.229619407378514
Sport,UKF25,1000,14821.367678934592,1013.24,-0.6192520531508579,52.32736451587981
Trade,UKF21,900,3584192.16159778,980.76,-1.1262468054730586,52.61559624932157
Trade,UKF22,900,3952211.5152590857,985.99,-1.0705219088125575,52.594130055650304
Trade,UKF22,1000,418607.14502489066,1006.3,-0.921910458237407,52.47754727880351
Trade,UKF24,1000,2587817.9677654966,1008.92,-0.8978454765624362,52.23474402406035
Trade,UKF25,1000,2336558.8145877183,1012.25,-0.6796429734550014,52.364193166958735
