Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,1158048.6217451573,3.0,9957127.957244793,3474145.8652354716,4092130.652946873,8.59819507598877
Apartment Block_AB_1_Before1945,Apartment Block,1900,134140.33776420623,3.0,1253133.6635164374,402421.0132926187,350036.00521196274,9.341959953308105
Apartment Block_AB_2_Before1945,Apartment Block,1900,894859.1984421072,3.0,8420292.323628273,2684577.5953263217,1783485.0970184517,9.409628171993386
Apartment Block_AB_3_Before1945,Apartment Block,1900,159915.97052331554,5.0,2175438.61967795,799579.8526165778,673671.498271187,13.603635787963867
Apartment Block_AB_0_1945to1969,Apartment Block,1955,662213.7138960817,3.0,5693842.694073525,1986641.1416882449,2340026.995889198,8.59819507598877
Apartment Block_AB_1_1945to1969,Apartment Block,1955,76706.25359429671,3.0,716586.7492462158,230118.7607828901,200163.135343528,9.341959953308105
Apartment Block_AB_2_1945to1969,Apartment Block,1955,511712.56723348936,3.0,4815024.988603301,1535137.701700468,1019860.7101617934,9.409628171993386
Apartment Block_AB_3_1945to1969,Apartment Block,1955,91445.68437200332,5.0,1243993.7845778326,457228.4218600166,385229.5114723373,13.603635787963867
Apartment Block_AB_0_1970to1979,Apartment Block,1975,144796.56942540334,3.0,1226205.7634894995,434389.70827621,510885.24097576906,8.468472480773926
Apartment Block_AB_1_1970to1979,Apartment Block,1975,94423.07891361976,3.0,847860.2018266141,283269.2367408593,196224.4715057548,8.979374656933764
Apartment Block_AB_2_1970to1979,Apartment Block,1975,17182.625593853274,3.0,167052.9784728468,51547.876781559826,64713.086505468964,9.722203254699707
Apartment Block_AB_3_1970to1979,Apartment Block,1975,36718.28248364801,4.0,451348.6527592278,146873.12993459203,143640.46080342328,12.292204924351509
Apartment Block_AB_0_1980to1989,Apartment Block,1985,144742.66549195128,3.0,1225749.2795124552,434227.99647585384,510695.05191161874,8.468472480773926
Apartment Block_AB_1_1980to1989,Apartment Block,1985,94387.9276984888,3.0,847544.5658963068,283163.7830954664,196151.42232444003,8.979374656933764
Apartment Block_AB_2_1980to1989,Apartment Block,1985,17176.228956762923,3.0,166990.78906690783,51528.686870288766,64688.99553478982,9.722203254699707
Apartment Block_AB_3_1980to1989,Apartment Block,1985,36704.61323814498,4.0,451180.6275923433,146818.45295257992,143586.9872586363,12.292204924351509
Apartment Block_AB_0_1990to2000,Apartment Block,1995,123514.84710120376,3.0,1002474.3198804908,370544.5413036113,432134.82967744477,8.116225242614746
Apartment Block_AB_1_1990to2000,Apartment Block,1995,66539.81981760672,3.0,592186.920231549,199619.45945282016,109016.5227465146,8.899737358093262
Apartment Block_AB_2_1990to2000,Apartment Block,1995,62784.73050339302,3.0,635871.1329496637,188354.19151017905,246497.3494046459,10.127799034118652
Apartment Block_AB_3_1990to2000,Apartment Block,1995,4416.355667162705,5.0,67217.12649082292,22081.778335813524,17215.524105404544,15.220043754765493
Apartment Block_AB_0_2000to2010,Apartment Block,2005,70873.32583991956,3.0,577181.4874239868,212619.9775197587,244965.0244005891,8.14384651184082
Apartment Block_AB_1_2000to2010,Apartment Block,2005,41375.36375948275,3.0,358687.31584696076,124126.09127844826,70009.43301287666,8.669103622436523
Apartment Block_AB_2_2000to2010,Apartment Block,2005,17047.585409476604,4.0,179843.29885912477,68190.34163790641,70656.16128349562,10.549488067626953
Apartment Block_AB_3_2000to2010,Apartment Block,2005,2221.3314768718874,5.0,35706.29992261805,11106.657384359436,8208.812638489082,16.074278104995027
Apartment Block_AB_0_Post2010,Apartment Block,2020,50905.10850039985,3.0,412018.0711698946,152715.32550119955,180586.97515334268,8.093845260474364
Apartment Block_AB_1_Post2010,Apartment Block,2020,31517.713618109043,3.0,273338.7230139791,94553.14085432712,51623.32455746501,8.672542885754494
Apartment Block_AB_2_Post2010,Apartment Block,2020,33382.504464127596,3.0,320451.20298572304,100147.5133923828,118497.49522906891,9.59937572479248
Apartment Block_AB_3_Post2010,Apartment Block,2020,2402.6064384636347,5.0,36567.77511889781,12013.032192318175,9365.669836040184,15.220043754765493
SFH_0_Before1945_1900,Single family- Terraced houses,1900,4427631.906274718,1.0,13042069.635417234,4427631.906274718,5102653.872340377,2.945608377456665
SFH_1_Before1945_1900,Single family- Terraced houses,1900,4933761.650923935,2.0,30831022.804398652,9867523.30184787,11520725.490523117,6.248989105224609
SFH_2_Before1945_1900,Single family- Terraced houses,1900,621926.327466535,2.0,4009645.6110791,1243852.65493307,1383087.089041052,6.4471392092576325
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,2295653.2498331205,1.0,6721640.909280436,2295653.2498331205,2582585.8878832124,2.927986145019531
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,2809025.6950866003,2.0,17570533.73220829,5618051.3901732005,6537160.282721223,6.255027770996093
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,347427.29355211445,2.0,2256185.3747678516,694854.5871042289,752848.8325833308,6.493978500366211
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,1313377.8492663132,1.0,3710278.0528934915,1313377.8492663132,1405769.2674731375,2.82498905776898
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,926241.4802962532,2.0,5549471.062402199,1852482.9605925065,2113596.49241852,5.991386890411377
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,107511.15946727376,2.0,650232.1936925877,215022.3189345475,248458.57641575122,6.048043727874756
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,1312888.9134271203,1.0,3708896.81449782,1312888.9134271203,1405245.9367523647,2.82498905776898
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,925896.6650888725,2.0,5547405.141089085,1851793.330177745,2112809.6563413674,5.991386890411377
