Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,UKG21,900,312825.8904821689,974.91,-2.4435867254535846,52.64713220209213
Apartment Block,UKG22,900,625489.6105301896,978.11,-2.734190639403081,52.70465794006724
Apartment Block,UKG23,900,4611029.011943506,950.02,-2.1751296872911876,53.01109977421773
Apartment Block,UKG24,900,9407868.857559726,966.94,-2.039060032494749,52.685790203874106
Education,UKG21,900,408598.198999366,974.06,-2.42564940003109,52.775672149988914
Education,UKG22,900,533879.9111320348,977.84,-2.7254049516395478,52.465298682015
Education,UKG23,900,517032.3388539208,949.73,-2.221343192667845,53.07037077257104
Education,UKG24,900,1513041.6646899588,967.25,-2.0414628097313017,52.69178618140812
Health,UKG21,900,71642.64231011178,975.28,-2.511559694605771,52.71168536925601
Health,UKG22,900,223368.44631433254,980.38,-2.794321623929181,52.71025305799247
Health,UKG23,900,290916.9765936388,951.92,-2.214042349859929,53.002887549930044
Health,UKG24,900,223759.53757572162,968.31,-2.074871897488223,52.81775961471517
Hotels and Restaurants,UKG21,900,192176.16574504878,974.6,-2.4578071812950566,52.634458817359224
Hotels and Restaurants,UKG22,900,717922.2270756017,977.84,-2.374059155288301,52.66964816975748
Hotels and Restaurants,UKG23,900,978533.8290992838,949.05,-2.2045213499851104,53.039308899984306
Hotels and Restaurants,UKG24,900,1119353.7203140322,967.98,-2.1092632165231175,52.814846334604944
Industrial,UKG21,900,4488507.056587443,975.98,-2.4340658003409166,52.640707148575785
Industrial,UKG22,900,2720818.022677876,976.47,-2.842346949892411,52.44704264994456
Industrial,UKG23,900,4480456.854790613,949.4,-2.1669731914789,53.01364239100729
Industrial,UKG24,900,13219005.923907455,969.08,-1.9282273000448338,52.67092644996612
Offices,UKG21,900,46140.98747972702,975.63,-2.5180066717489376,52.699758736561854
Offices,UKG22,900,116650.05817960249,978.35,-2.9582317712421338,52.469267751502485
Offices,UKG23,900,228149.44924456935,948.85,-2.1786171512695938,53.02347537603793
Offices,UKG24,900,319053.54028273595,968.69,-2.0836277919172237,52.815872552354506
Other non-residential buildings,UKG21,900,1187033.0761348137,974.92,-2.449128840112746,52.636471121904
Other non-residential buildings,UKG22,900,4038136.00446157,977.29,-2.750363588542306,52.71002151746662
Other non-residential buildings,UKG23,900,2140380.079377711,951.52,-2.1907510654688287,52.994501279156914
Other non-residential buildings,UKG24,900,7541649.123544855,969.19,-2.279007570593892,52.86670232638973
Single family- Terraced houses,UKG21,900,2689002.4125330644,975.08,-2.438527549881756,52.64034879992104
Single family- Terraced houses,UKG22,900,11432593.527243132,977.7,-2.6329275933271346,52.390057209320624
Single family- Terraced houses,UKG23,900,2161771.7547269515,949.0,-2.167012548295549,53.01754760598546
Single family- Terraced houses,UKG24,900,25595187.491556734,968.11,-2.1453556000015066,52.53855814998714
Sport,UKG21,900,1349.1515292339027,974.33,-2.401696249513828,52.7374321167529
Sport,UKG22,900,21369.34298105957,977.105,-2.3624028135069803,52.67333800275799
Sport,UKG23,900,37106.75791363558,953.12,-2.1752242172071337,52.98920119667387
Sport,UKG24,900,16162.671877781395,968.225,-1.9348629454221937,52.75525249994077
Trade,UKG21,900,1695888.495083698,975.07,-2.445299151593555,52.63520612374923
Trade,UKG22,900,2313968.5077505144,977.84,-2.378866766807319,52.667348916025645
Trade,UKG23,900,2828342.216243119,948.83,-2.1787322850161317,53.02361898350138
Trade,UKG24,900,5423970.272847599,966.31,-2.0320351432608836,52.67557564031024
