Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,858628.6780221671,3.0,7534685.774471175,2575886.034066501,1915159.5903558347,8.77525520324707
Apartment Block_AB_1_Before1945,Apartment Block,1900,42392.78983800021,3.0,404066.40848206455,127178.36951400062,51108.449293332764,9.531488963716797
Apartment Block_AB_2_Before1945,Apartment Block,1900,182098.49488098512,4.0,1913871.1998426928,728393.9795239405,730153.7142837838,10.510087966918945
Apartment Block_AB_3_Before1945,Apartment Block,1900,259096.07829530688,4.0,3384232.456754576,1036384.3131812275,811801.2010874945,13.061689235208606
Apartment Block_AB_0_1945to1969,Apartment Block,1955,274341.2145434055,3.0,2367852.508292716,823023.6436302166,896314.4391915626,8.631049156188965
Apartment Block_AB_1_1945to1969,Apartment Block,1955,361003.58023966296,3.0,3450814.2936280724,1083010.740718989,637504.6062194721,9.558947563171387
Apartment Block_AB_2_1945to1969,Apartment Block,1955,80895.22062850095,4.0,885029.090522468,323580.8825140038,271370.39535441407,10.940437316894531
Apartment Block_AB_3_1945to1969,Apartment Block,1955,64842.35807439539,5.0,947111.1008754207,324211.79037197697,190099.4545210731,14.606364250183105
Apartment Block_AB_0_1970to1979,Apartment Block,1975,38631.305998308926,3.0,327258.4278829671,115893.91799492677,120638.13110430978,8.471327060423294
Apartment Block_AB_1_1970to1979,Apartment Block,1975,42505.04536680279,3.0,392385.90874286543,127515.13610040837,68118.3381981149,9.231513702825639
Apartment Block_AB_2_1970to1979,Apartment Block,1975,13611.466290649108,3.0,130018.90742353984,40834.39887194733,47757.966566630486,9.552160263061523
Apartment Block_AB_3_1970to1979,Apartment Block,1975,5354.101528911868,5.0,84970.86982439614,26770.50764455934,27639.69179336698,15.870238800209128
Apartment Block_AB_0_1980to1989,Apartment Block,1985,38616.92458474394,3.0,327136.5982250669,115850.7737542318,120593.22071854146,8.471327060423294
Apartment Block_AB_1_1980to1989,Apartment Block,1985,42489.22186251729,3.0,392239.8338462271,127467.66558755186,68092.97954228715,9.231513702825639
Apartment Block_AB_2_1980to1989,Apartment Block,1985,13606.399101723102,3.0,129970.50482283543,40819.197305169306,47740.18753870303,9.552160263061523
Apartment Block_AB_3_1980to1989,Apartment Block,1985,5352.108338509255,5.0,84939.23741673239,26760.541692546274,27629.402267082085,15.870238800209128
Apartment Block_AB_0_1990to2000,Apartment Block,1995,44183.70728489725,3.0,375841.6378123871,132551.12185469177,143783.65355658642,8.506340026855469
Apartment Block_AB_1_1990to2000,Apartment Block,1995,40774.19571653851,3.0,370633.40121344797,122322.58714961553,53178.947193646156,9.089900970458984
Apartment Block_AB_2_1990to2000,Apartment Block,1995,21283.151086433754,3.0,211514.56798948528,63849.45325930126,72399.20563442113,9.938122749328613
Apartment Block_AB_3_1990to2000,Apartment Block,1995,2373.8065056942796,6.0,45658.723577275894,14242.839034165678,23808.97032025694,19.23439145850763
Apartment Block_AB_0_2000to2010,Apartment Block,2005,27283.41282829932,3.0,232039.5748417569,81850.23848489796,91733.88013669009,8.504785537719727
Apartment Block_AB_1_2000to2010,Apartment Block,2005,24837.42888793547,3.0,227087.30612467974,74512.28666380642,44395.47392116331,9.142947410107537
Apartment Block_AB_2_2000to2010,Apartment Block,2005,17091.50908735571,3.0,158892.94552306872,51274.52726206713,59298.98475164182,9.296601295471191
Apartment Block_AB_3_2000to2010,Apartment Block,2005,891.6469603017689,7.0,18281.81881104066,6241.528722112383,5383.602789588245,20.503427505493164
Apartment Block_AB_0_Post2010,Apartment Block,2020,18075.310262629424,3.0,156017.97673775948,54225.930787888276,59593.28016909425,8.631551794733259
Apartment Block_AB_1_Post2010,Apartment Block,2020,18086.023926388018,3.0,161781.15157524528,54258.071779164056,24308.412413183567,8.94509220123291
Apartment Block_AB_2_Post2010,Apartment Block,2020,9016.813396706893,3.0,83825.7191048473,27050.44019012068,31854.105198942896,9.296601295471191
Apartment Block_AB_3_Post2010,Apartment Block,2020,730.6750487465246,6.0,13592.202820388044,4384.050292479147,6354.822935661178,18.602253961874723
SFH_0_Before1945_1900,Single family- Terraced houses,1900,4796891.274582039,1.0,15234177.009122709,4796891.274582039,6273335.8239578605,3.1758437156677246
SFH_1_Before1945_1900,Single family- Terraced houses,1900,5761992.287504474,2.0,35168838.57290941,11523984.575008947,12284083.893668944,6.10359001159668
SFH_2_Before1945_1900,Single family- Terraced houses,1900,3736224.7913335655,2.0,23706327.701412197,7472449.582667131,8322397.293190381,6.344995021820068
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,2580766.5557964914,1.0,8220101.916645777,2580766.5557964914,3304407.9090422643,3.1851396625483783
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,3284485.3356761965,2.0,20060409.471861925,6568970.671352393,7051720.292328588,6.107626438140869
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,2131898.292864391,2.0,13564129.352470078,4263796.585728782,4711491.166125593,6.362465506853748
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,1340899.6715479654,1.0,3978127.937422075,1340899.6715479654,1512118.624511198,2.966760319084598
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,991886.9135002695,2.0,5774752.866734305,1983773.827000539,2086930.4654251856,5.821987152099609
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,437197.70687444933,2.0,2566991.124120252,874395.4137488987,888405.731819576,5.87146520614624
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,1340400.4900621895,1.0,3976646.9855980533,1340400.4900621895,1511555.7027373551,2.966760319084598
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,991517.6602341911,2.0,5772603.078963326,1983035.3204683822,2086153.556404663,5.821987152099609
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,437034.9497304765,2.0,2566035.5012123636,874069.899460953,888075.0018607348,5.87146520614624
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,1450506.9466484673,1.0,4328360.060175757,1450506.9466484673,1573221.4127380564,2.98403263092041
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,1186431.6540030406,2.0,6851828.475995541,2372863.3080060813,2516603.6505865753,5.775156497955322
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,433009.9167218923,2.0,2539584.479696159,866019.8334437846,887965.4801605673,5.864956855773926
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,2097202.75299824,1.0,5908691.779867554,2097202.75299824,2128279.2615201203,2.817415612973169
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,331237.480704184,2.0,1861093.7162332218,662474.961408368,601071.5861112757,5.618608474731445
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,933086.2004579885,2.0,5324117.642307175,1866172.400915977,1894730.883568664,5.705922603607178
SFH_0_Post2010_2020,Single family- Terraced houses,2020,1581021.2765247216,1.0,4454394.028923521,1581021.2765247216,1604448.9690084138,2.817415612973169
SFH_1_Post2010_2020,Single family- Terraced houses,2020,219211.32311371903,2.0,1192161.6345918276,438422.64622743806,407746.09620068833,5.438412658881569
SFH_2_Post2010_2020,Single family- Terraced houses,2020,718764.8030644885,2.0,4066110.5237870575,1437529.606128977,1452233.528564313,5.657080739695376
