Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,UKH31,1000,878805.2682055223,1071.44,0.707389983667136,51.54015923722259
Apartment Block,UKH32,1000,1000438.544106327,1056.81,0.320189548361978,51.478584626763706
Apartment Block,UKH34,1000,790191.3227953572,1053.85,0.8924710812586928,51.88641088226857
Apartment Block,UKH34,1100,2667.1815823316574,1100.63,1.1723707153649345,51.81459988094953
Apartment Block,UKH35,1000,1248664.8386595622,1033.47,0.24059165004211594,52.016844799933885
Apartment Block,UKH36,1000,1813029.9323847622,1051.3,0.47807764992178603,51.72953979995019
Apartment Block,UKH37,1000,1055073.5226364466,1051.03,0.41505939369429756,51.62697711980238
Education,UKH31,1000,516494.6298946848,1072.01,0.7110790993175544,51.537773623114326
Education,UKH32,1000,352762.6931827807,1059.12,0.3554979931648165,51.49244334705062
Education,UKH34,1000,858562.654377071,1054.625,0.7965059198072842,51.871290879411006
Education,UKH34,1100,3120.0733170006424,1100.74,1.1928170376664946,51.8033319045218
Education,UKH35,1000,295439.3212135547,1035.44,0.0986108744040903,51.76986619536138
Education,UKH36,1000,688627.6327082156,1050.84,0.476405969091214,51.740994852027285
Education,UKH37,1000,651083.3292991951,1056.63,0.4824676132915938,51.56624796771492
Health,UKH31,1000,153124.86881537596,1068.91,0.6879087441096025,51.55444963341436
Health,UKH32,1000,27135.74857319519,1057.035,0.33632133611972276,51.49603154104648
Health,UKH34,1000,110222.9661342953,1096.83,1.148681953540964,51.784802935842116
Health,UKH35,1000,30409.779569787905,1034.0449,0.25893430880483326,52.02416129898594
Health,UKH36,1000,96292.64802895856,1050.1,0.46442304786618366,51.77376027560314
Health,UKH37,1000,120498.53215729445,1055.94,0.44856328805764634,51.55754033192605
Hotels and Restaurants,UKH31,1000,65176.960673373425,1069.24,0.6931911881827924,51.54393087135766
Hotels and Restaurants,UKH32,1000,243318.78448271082,1061.235,0.3702825326750304,51.479806459516524
Hotels and Restaurants,UKH34,1000,162666.5774009326,1057.71,0.9195385513071659,51.87167528931987
Hotels and Restaurants,UKH34,1100,2293.432589294389,1101.36,1.1929779153634863,51.806337736834074
Hotels and Restaurants,UKH35,1000,3564886.162173929,1035.5,0.1060012379130799,51.74755997010528
Hotels and Restaurants,UKH36,1000,317334.3783880818,1051.2,0.473599270501319,51.734362649280754
Hotels and Restaurants,UKH37,1000,426599.8692361292,1053.76,0.43830786543237504,51.57415354819878
Industrial,UKH31,1000,596221.7857401063,1073.51,0.7084783983245689,51.56325072508304
Industrial,UKH32,1000,4937941.665581187,1055.3201,0.2970251499995365,51.47792339993717
Industrial,UKH34,1000,2077915.693819576,1056.14,0.9281208121653701,51.882764469444105
Industrial,UKH34,1100,201088.7385327774,1100.75,1.173375100027745,51.81495069998711
Industrial,UKH35,1000,3117305.3768908614,1035.11,0.2490409999684702,51.95771784995301
Industrial,UKH36,1000,1631034.5482180805,1053.78,0.5212336550399214,51.66225848805908
Industrial,UKH37,1000,3577348.7639282905,1057.06,0.5186874754040803,51.58386844496134
Offices,UKH31,1000,13459.378770846582,1070.58,0.7013311321016076,51.5406288697162
Offices,UKH32,1000,56097.57230312638,1056.485,0.3180557731116446,51.47706420388467
Offices,UKH34,1000,183890.779857042,1074.0,1.2512973292013425,51.94641633962012
Offices,UKH35,1000,162016.3030650777,1035.87,0.2249216677522519,51.88445778641688
Offices,UKH36,1000,395813.7348839132,1051.3,0.45955680360691986,51.734679898741554
Offices,UKH37,1000,178018.44089506016,1056.04,0.5067393500004962,51.58767869999224
Other non-residential buildings,UKH31,1000,562131.8622768313,1071.98,0.7112058940912532,51.53637712214602
Other non-residential buildings,UKH32,1000,2125308.4498456423,1055.04,0.2802300096890499,51.47312740642969
Other non-residential buildings,UKH34,1000,3139236.4333246048,1062.36,0.9076462335686455,51.832478697160134
Other non-residential buildings,UKH34,1100,40515.50825321209,1100.35,1.2459392727778538,51.83102526697342
Other non-residential buildings,UKH35,1000,4318176.575569775,1035.14,0.09128308589664774,51.7472829941152
Other non-residential buildings,UKH36,1000,1897629.2710949876,1058.72,0.6936051674673718,51.7460838945147
Other non-residential buildings,UKH37,1000,1170769.9041493242,1065.77,0.5767524499998931,51.53237889999622
Single family- Terraced houses,UKH31,1000,1025231.764386158,1069.51,0.6951362555135077,51.55138631109179
Single family- Terraced houses,UKH32,1000,4261895.609308167,1056.98,0.3207486831851493,51.47457380382505
Single family- Terraced houses,UKH34,1000,14586479.029869627,1070.01,1.0081259499940438,51.855710499979956
Single family- Terraced houses,UKH34,1100,779413.9818353982,1100.7,1.1916830135957113,51.80178315705578
Single family- Terraced houses,UKH35,1000,8230983.785063469,1034.73,0.09992895113390682,51.69229916654052
Single family- Terraced houses,UKH36,1000,7152532.03352055,1058.54,0.5763147787792935,51.63601636399527
Single family- Terraced houses,UKH37,1000,7434314.672405476,1055.7,0.4676070000528335,51.56543779992568
Sport,UKH31,1000,25281.13336127065,1068.725,0.6760956835616154,51.54456590132324
Sport,UKH32,1000,2290.5220757052302,1055.06,0.34627031782072204,51.49326159729958
Sport,UKH34,1000,26678.59145286787,1054.27,0.8964334001411817,51.882197199945786
Sport,UKH35,1000,12184.836284863937,1035.87,0.11643297067790838,51.76611495691316
Sport,UKH36,1000,5789.157440335839,1047.55,0.3557830999722794,51.78541814997554
Sport,UKH37,1000,8685.665450690954,1065.28,0.5673037500167305,51.53368289998742
Trade,UKH31,1000,727296.3338136072,1072.19,0.7122917276572811,51.536810638763235
Trade,UKH32,1000,1747350.6475070976,1057.05,0.3226398955642841,51.47731763200645
Trade,UKH34,1000,2660447.348781644,1054.12,0.9060221915160882,51.8860633364263
Trade,UKH34,1100,37591.75278063363,1100.39,1.1711414228862005,51.81205339992892
Trade,UKH35,1000,1621178.054824703,1034.82,0.1931362779853846,52.062425668998394
Trade,UKH36,1000,1735573.3116732873,1051.89,0.4637509063035628,51.72141894299493
Trade,UKH37,1000,2284251.4582419675,1054.85,0.4541626954284197,51.56831997177364
