Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,3215282.4074715893,3.0,30990920.25879186,9645847.222414767,6542839.785022966,9.638630867004395
Apartment Block_AB_1_Before1945,Apartment Block,1900,2463702.3280265643,4.0,28307955.679723468,9854809.312106257,6277688.855153621,11.490006466161947
Apartment Block_AB_2_Before1945,Apartment Block,1900,2423078.126768394,4.0,32323423.07005045,9692312.507073576,4920517.130045702,13.339818767279901
Apartment Block_AB_3_Before1945,Apartment Block,1900,261269.43406305002,7.0,5204528.577969189,1828886.0384413502,936678.4134059912,19.920158653971065
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1237327.3955399815,3.0,12924389.311962025,3711982.1866199444,3230695.7364129564,10.44540786743164
Apartment Block_AB_1_1945to1969,Apartment Block,1955,2587795.6404200452,3.0,27129919.42567198,7763386.921260136,5607427.183735925,10.483795166015625
Apartment Block_AB_2_1945to1969,Apartment Block,1955,612187.6229824411,5.0,8271682.46321004,3060938.1149122054,1318180.933460031,13.511678695678711
Apartment Block_AB_3_1945to1969,Apartment Block,1955,612385.4146152878,5.0,9922128.753266957,3061927.073076439,1753318.8733961296,16.202425003051758
Apartment Block_AB_0_1970to1979,Apartment Block,1975,32674.793604166232,3.0,285208.5852565715,98024.3808124987,79391.41459578184,8.728703498840332
Apartment Block_AB_1_1970to1979,Apartment Block,1975,10854.518590013162,3.0,103422.89731986616,32563.555770039486,24294.65718224082,9.528096199035645
Apartment Block_AB_2_1970to1979,Apartment Block,1975,16392.34764342229,4.0,204229.9552410842,65569.39057368916,33933.484320691416,12.458859443664553
Apartment Block_AB_3_1970to1979,Apartment Block,1975,7040.787811556942,4.0,91566.72991821752,28163.151246227768,16825.18361337141,13.005182426875212
Apartment Block_AB_0_1980to1989,Apartment Block,1985,32662.629642637392,3.0,285102.40964301495,97987.88892791218,79361.85927174332,8.728703498840332
Apartment Block_AB_1_1980to1989,Apartment Block,1985,10850.477739804817,3.0,103384.39571035515,32551.43321941445,24285.612923877594,9.528096199035645
Apartment Block_AB_2_1980to1989,Apartment Block,1985,16386.245205912892,4.0,204153.92582989082,65544.98082365157,33920.851781896636,12.458859443664553
