Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,UKI71,1000,7283946.4798003975,1026.74,-0.16357923418395742,51.61250697946562
Apartment Block,UKI72,1000,5332789.928619394,1029.02,-0.22175955001052663,51.539975699987515
Apartment Block,UKI73,1000,2114939.2722326317,1032.0,-0.3009510360346519,51.509227349402465
Apartment Block,UKI74,1000,2126164.7560380036,1027.95,-0.47339630307000297,51.54444308004325
Apartment Block,UKI75,1000,2791257.059324234,1036.53,-0.3008825999832232,51.456886649989436
Education,UKI71,1000,490010.64788997907,1026.66,-0.26195369616675185,51.61333815368621
Education,UKI72,1000,344595.77688033343,1028.4551,-0.2419875743657121,51.56305681210991
Education,UKI73,1000,633422.8503090541,1031.585,-0.355620479707421,51.52705282133454
Education,UKI74,1000,732252.0729233717,1028.505,-0.4370162328281526,51.54297533265903
Education,UKI75,1000,983934.4170274572,1039.0,-0.38205525468361934,51.47924630267846
Health,UKI71,1000,69302.19950882159,1026.875,-0.2719683317162544,51.60589215022939
Health,UKI72,1000,193953.72112199198,1026.74,-0.3203299561760846,51.57453851282699
Health,UKI74,1000,107135.4221841516,1024.55,-0.4488716936799718,51.614710813014945
Health,UKI75,1000,52580.38281271048,1035.135,-0.25668749364046356,51.466902334012794
Hotels and Restaurants,UKI71,1000,381492.4074965924,1026.425,-0.20575290000183627,51.61072299998539
Hotels and Restaurants,UKI72,1000,867604.7604412677,1028.18,-0.19924344803678645,51.53541988272351
Hotels and Restaurants,UKI73,1000,1276006.9963967567,1031.32,-0.3300719725980953,51.52012649205157
Hotels and Restaurants,UKI74,1000,420496.69280708005,1027.1,-0.34566593182054417,51.57746149363135
Hotels and Restaurants,UKI75,1000,427174.56904653594,1039.97,-0.3943210688728433,51.472050800847434
Industrial,UKI71,1000,409690.37931480136,1027.11,-0.23374519509200697,51.57284729122737
Industrial,UKI72,1000,2222220.31051799,1029.31,-0.30219349118726724,51.54020964999451
Industrial,UKI73,1000,2970208.6279401826,1030.89,-0.2735146007003178,51.52475831221506
Industrial,UKI74,1000,1069221.574743928,1032.45,-0.4653400959898267,51.511122170735916
Industrial,UKI75,1000,1404515.420202073,1039.96,-0.46068899528978385,51.45105873237946
Offices,UKI71,1000,72235.59809601726,1026.38,-0.17899094432633156,51.6119209881638
Offices,UKI72,1000,66640.6428976832,1028.7549,-0.3055959005256066,51.551145314149636
Offices,UKI73,1000,333622.1467238201,1031.575,-0.26294076249568377,51.51729604774989
Offices,UKI74,1000,251331.97129723377,1026.74,-0.3342156233549806,51.57920864834141
Offices,UKI75,1000,333004.86255938286,1036.36,-0.2948657688727221,51.46136986554133
Other non-residential buildings,UKI71,1000,687856.9054584515,1026.79,-0.23598710933166797,51.57883145453531
Other non-residential buildings,UKI72,1000,998561.2931531828,1028.57,-0.2873176899876456,51.55293443296026
Other non-residential buildings,UKI73,1000,1325298.457070257,1031.88,-0.31714802878196846,51.50993763971437
Other non-residential buildings,UKI74,1000,3729965.957529947,1028.21,-0.36124628155314326,51.56407700121752
Other non-residential buildings,UKI75,1000,1905719.8189811227,1038.235,-0.31707812387251877,51.434338123126345
Single family- Terraced houses,UKI71,1000,11264912.798946101,1027.11,-0.20777690009860847,51.556661599985816
Single family- Terraced houses,UKI72,1000,1848357.0720647078,1028.62,-0.23502599090922524,51.553739399158026
Single family- Terraced houses,UKI73,1000,4830274.132604229,1032.22,-0.2675063183445003,51.50564016056125
Single family- Terraced houses,UKI74,1000,9302355.651375702,1026.98,-0.45149620000103513,51.543694099985665
Single family- Terraced houses,UKI75,1000,7693796.682520326,1036.24,-0.27336712839950156,51.45812421339646
Sport,UKI71,1000,32383.304348196834,1026.74,-0.20217684014134868,51.55759087760832
Sport,UKI72,1000,178681.10172100412,1028.2,-0.3082713999897483,51.56015024998386
Sport,UKI73,1000,17320.912214654498,1031.12,-0.29838896524191666,51.518466188044826
Sport,UKI74,1000,54747.5092100976,1026.38,-0.31611931759567824,51.5886663464778
Sport,UKI75,1000,189404.22507377394,1039.815,-0.34153410723181293,51.4560564885637
Trade,UKI71,1000,1854057.4786624657,1026.89,-0.2510806000147246,51.58823434999256
Trade,UKI72,1000,1069616.5620811058,1028.57,-0.30139843515887627,51.55200096716954
Trade,UKI73,1000,1392164.721877863,1032.24,-0.2721155848372276,51.50700793711041
Trade,UKI74,1000,2672300.613053104,1027.83,-0.48048746446517215,51.54776152465994
Trade,UKI75,1000,2732743.665482589,1037.24,-0.3308989233000202,51.47046349799054
