Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,UKJ11,1000,15961048.997129643,1031.09,-1.0150483267887973,51.44281169713535
Apartment Block,UKJ12,1000,1597041.6817428004,1017.62,-0.7214056755099607,51.996387935360175
Apartment Block,UKJ13,1000,2603111.5694351858,1025.03,-0.561341762477467,51.60687811022501
Apartment Block,UKJ14,1000,7385881.358907374,1023.1,-1.2037033127403098,51.72097508608666
Education,UKJ11,1000,2411327.5590677215,1033.945,-0.612187476220735,51.493416140197226
Education,UKJ12,1000,830192.8792854119,1016.905,-0.7536556355652605,52.02513075586039
Education,UKJ13,1000,953118.6396588387,1024.9,-0.693956087472806,51.58031220834606
Education,UKJ14,1000,3195572.8502856283,1022.83,-1.2249417806146543,51.754479152886795
Health,UKJ11,1000,660053.2872420306,1030.3,-0.9577840426295362,51.44916241420904
Health,UKJ12,1000,49818.55556683848,1016.66003,-0.6945418774489825,52.03175557879846
Health,UKJ13,1000,222772.11480511725,1024.55,-0.8035869503171146,51.79609509996323
Health,UKJ14,1000,563276.98072127,1022.78,-1.2105520430934331,51.753783211831106
Hotels and Restaurants,UKJ11,1000,2602705.562657587,1034.8,-0.9621030222176381,51.41883909125391
Hotels and Restaurants,UKJ12,1000,434634.7403092458,1016.89,-0.7077712812310462,52.0113195241869
Hotels and Restaurants,UKJ13,1000,293195.7284248952,1025.41,-0.49835277002310246,51.58173046222408
Hotels and Restaurants,UKJ14,1000,1804018.3562438022,1023.1,-1.2043075543433495,51.720957833078344
Industrial,UKJ11,1000,5558299.247683669,1034.71,-0.7814341731015662,51.493100985827866
Industrial,UKJ12,1000,6055960.371872742,1017.3,-0.7170294000458486,52.00143464996541
Industrial,UKJ13,1000,2720061.9905716153,1025.28,-0.9743169988202877,51.83730329044172
Industrial,UKJ14,1000,7975164.147064271,1023.1,-1.1987922576490941,51.733380895768164
Offices,UKJ11,1000,1295070.3265828923,1032.05,-1.0195869499835744,51.43662514995008
Offices,UKJ12,1000,485895.47460192884,1016.66003,-0.7119018499915873,52.17387404999565
Offices,UKJ13,1000,238118.18401886435,1024.92,-0.993789737077793,51.77242547156245
Offices,UKJ14,1000,673256.1002097117,1023.75,-1.1908958120737578,51.7634054751516
Other non-residential buildings,UKJ11,1000,7044117.57000782,1034.99,-0.6759648508655299,51.40634022393396
Other non-residential buildings,UKJ12,1000,3222284.722545907,1017.62,-0.717478400099485,51.99523654993591
Other non-residential buildings,UKJ13,1000,2012293.2302069794,1024.55,-0.8926287141125586,51.86100187885695
Other non-residential buildings,UKJ14,1000,6107949.427587787,1024.08,-1.4030489851174293,51.747522217254
Single family- Terraced houses,UKJ11,1000,25597691.61602291,1034.03,-0.9565420999940069,51.42267454999215
Single family- Terraced houses,UKJ12,1000,3277748.567596741,1017.62,-0.7105429219109176,51.98903269251803
Single family- Terraced houses,UKJ13,1000,11917615.14519335,1025.28,-0.6908500000020504,51.568538049995006
Single family- Terraced houses,UKJ14,1000,25324457.31002129,1024.57,-0.9282179359821994,51.55224429465752
Sport,UKJ11,1000,177761.1701592845,1034.78,-0.7450022819662661,51.413104262392345
Sport,UKJ12,1000,124479.55043853028,1017.13,-0.7335462000617774,52.00962714326094
Sport,UKJ13,1000,42311.319023308344,1024.11,-0.6201610130956551,51.603525413594525
Sport,UKJ14,1000,72512.85278084641,1023.1,-1.208056452592833,51.71593851769658
Trade,UKJ11,1000,9649774.475413652,1032.54,-0.5466826904862285,51.492212765891345
Trade,UKJ12,1000,2446024.859105856,1017.62,-0.719115571380496,51.99902091149629
Trade,UKJ13,1000,3544836.973796462,1025.04,-0.5567549698359102,51.60684993529961
Trade,UKJ14,1000,5698362.474581353,1022.73,-1.2199857385982653,51.72078910677804
