Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,1190891.294193395,3.0,11260563.07209506,3572673.882580185,2637623.949534319,9.455575942993164
Apartment Block_AB_1_Before1945,Apartment Block,1900,746814.0546007176,3.0,7248839.55495429,2240442.163802153,2777484.5557707744,9.706351280212402
Apartment Block_AB_2_Before1945,Apartment Block,1900,802304.6979887094,4.0,10481348.465727173,3209218.7919548377,2729903.902191416,13.06404972076416
Apartment Block_AB_3_Before1945,Apartment Block,1900,426859.49515815533,5.0,6447492.653097053,2134297.475790777,1325998.0445086092,15.104484558105469
Apartment Block_AB_0_1945to1969,Apartment Block,1955,681038.3011403162,3.0,6439609.3765193075,2043114.9034209484,1508385.3097226096,9.455575942993164
Apartment Block_AB_1_1945to1969,Apartment Block,1955,427000.07605211093,3.0,4144612.7348392,1281000.2281563329,1588060.7886815534,9.706351280212402
Apartment Block_AB_2_1945to1969,Apartment Block,1955,458745.1643895853,4.0,5993069.636745671,1834980.6575583413,1560915.968107911,13.06404972076416
Apartment Block_AB_3_1945to1969,Apartment Block,1955,244093.56074748127,5.0,3686907.41904331,1220467.8037374064,758253.2142300871,15.104484558105469
Apartment Block_AB_0_1970to1979,Apartment Block,1975,73824.20543996242,3.0,653187.1744266127,221472.61631988725,249828.78684746768,8.847872734069824
Apartment Block_AB_1_1970to1979,Apartment Block,1975,107272.33669614786,3.0,997335.5618905205,321817.0100884436,186976.43438042063,9.297229766845703
Apartment Block_AB_2_1970to1979,Apartment Block,1975,56568.316335038275,4.0,702809.0101504052,226273.2653401531,189113.78694073486,12.424075095109151
Apartment Block_AB_3_1970to1979,Apartment Block,1975,27798.37227534166,5.0,408661.88846364495,138991.8613767083,143234.84961924262,14.700928688049316
Apartment Block_AB_0_1980to1989,Apartment Block,1985,73796.72264066008,3.0,652944.0101160096,221390.16792198023,249735.78219719126,8.847872734069824
Apartment Block_AB_1_1980to1989,Apartment Block,1985,107232.40204216081,3.0,996964.2802367435,321697.20612648246,186906.82799875055,9.297229766845703
Apartment Block_AB_2_1980to1989,Apartment Block,1985,56547.2574468939,4.0,702547.3729426799,226189.0297875756,189043.3848792318,12.424075095109151
Apartment Block_AB_3_1980to1989,Apartment Block,1985,27788.023676509845,5.0,408509.7544501972,138940.11838254923,143181.52707277253,14.700928688049316
