Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,2008296.4727482277,3.0,18395434.212527666,6024889.418244683,7562550.270032626,9.159720420837402
Apartment Block_AB_1_Before1945,Apartment Block,1900,2699837.2071803208,3.0,27100800.38450324,8099511.621540963,7668566.935155045,10.037938699573301
Apartment Block_AB_2_Before1945,Apartment Block,1900,1541385.3258234204,4.0,18668664.441986557,6165541.303293682,4768292.775416783,12.111614227294922
Apartment Block_AB_3_Before1945,Apartment Block,1900,421624.6048109483,5.0,6865243.5894168755,2108123.0240547415,1532903.5644803308,16.2828343295932
Apartment Block_AB_0_1945to1969,Apartment Block,1955,1178707.7328980032,3.0,10744372.605103659,3536123.1986940093,4487111.997053123,9.11538314819336
Apartment Block_AB_1_1945to1969,Apartment Block,1955,1441044.4150318976,3.0,14699599.642243616,4323133.245095693,3354735.3772852593,10.20065689086914
Apartment Block_AB_2_1945to1969,Apartment Block,1955,951378.4667735122,4.0,11298950.309676979,3805513.8670940488,2981073.029441685,11.876399040222168
Apartment Block_AB_3_1945to1969,Apartment Block,1955,228264.6798482465,5.0,3763642.1720417175,1141323.3992412325,619762.7344990487,16.488061904907227
Apartment Block_AB_0_1970to1979,Apartment Block,1975,199670.8988762648,3.0,1700906.519474704,599012.6966287944,752993.8858704478,8.518549919128418
Apartment Block_AB_1_1970to1979,Apartment Block,1975,239287.947630218,3.0,2311581.941627899,717863.842890654,641737.5398215145,9.660252279818483
Apartment Block_AB_2_1970to1979,Apartment Block,1975,134343.03705011247,4.0,1502869.0716406927,537372.1482004499,464606.78243103647,11.186802864074707
Apartment Block_AB_3_1970to1979,Apartment Block,1975,36519.2950229064,5.0,565019.2581019629,182596.47511453202,173859.20342497647,15.471800804138184
Apartment Block_AB_0_1980to1989,Apartment Block,1985,199596.56668118553,3.0,1700273.316960323,598789.7000435566,752713.5661607003,8.518549919128418
Apartment Block_AB_1_1980to1989,Apartment Block,1985,239198.86705561515,3.0,2310721.4008040046,717596.6011668454,641498.6379070735,9.660252279818483
Apartment Block_AB_2_1980to1989,Apartment Block,1985,134293.02469030567,4.0,1502309.5932307667,537172.0987612227,464433.8216131047,11.186802864074707
Apartment Block_AB_3_1980to1989,Apartment Block,1985,36505.69985517251,5.0,564808.9163748852,182528.49927586256,173794.48024148785,15.471800804138184
Apartment Block_AB_0_1990to2000,Apartment Block,1995,220643.3128132154,3.0,1855526.2687692975,661929.9384396462,850619.8071495682,8.409619331359863
Apartment Block_AB_1_1990to2000,Apartment Block,1995,216741.55147399954,3.0,1997826.5613821542,650224.6544219987,537224.774106217,9.217552185058594
Apartment Block_AB_2_1990to2000,Apartment Block,1995,90747.22540216705,4.0,976378.9799859162,362988.9016086682,270449.3093732573,10.759325981140137
