Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,UKK30,1000,1395365.4135052366,1070.91,-5.0719532308246755,50.15046466567782
Education,UKK30,1000,976127.3856534983,1070.935,-5.071060500801084,50.148993406235064
Education,UKK30,1100,34062.66349011753,1104.9299,-5.379739753706571,50.114403776777706
Health,UKK30,1000,160930.109407397,1079.45,-5.091464647864084,50.26483224760172
Health,UKK30,1100,1086.1957518048584,1135.95,-6.309388872249788,49.913069942407496
Hotels and Restaurants,UKK30,1000,1213447.7221052987,1070.5901,-5.160042499698322,50.119819536814646
Hotels and Restaurants,UKK30,1100,80247.01369525111,1132.225,-6.283835784430666,49.95958119129701
Industrial,UKK30,1000,2411700.227088944,1063.9,-4.927249349996806,50.313593199990834
Industrial,UKK30,1100,30014.432744194753,1111.845,-5.68326978846944,50.1259026451931
Offices,UKK30,1000,186231.03221040417,1073.47,-5.051470961623407,50.26250949640937
Offices,UKK30,1100,10946.461806217441,1118.405,-5.6785573024399145,50.08879475417044
Other non-residential buildings,UKK30,1000,2740502.658017386,1070.965,-5.0871374472390665,50.13754233151871
Other non-residential buildings,UKK30,1100,390359.8027151427,1114.6,-5.687472823640602,50.10363678347729
Single family- Terraced houses,UKK30,1000,17962991.714029685,1072.19,-5.189732374908481,50.12011672229778
Single family- Terraced houses,UKK30,1100,1142660.5459147722,1117.875,-5.627205450012564,50.09126934998359
Sport,UKK30,1000,16531.270370938233,1070.3,-5.094433888635061,50.14925289456181
Trade,UKK30,1000,2382420.5022605034,1073.42,-5.055502822995888,50.2618389595609
Trade,UKK30,1100,55468.449691646034,1111.12,-5.2744834797337505,50.05586971934982
