Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,UKL11,1000,131560.8735856621,1046.77,-4.6281495294645865,53.30644306272728
Apartment Block,UKL12,900,176467.6934531316,974.09,-4.12846636235152,53.22742259638457
Apartment Block,UKL12,1000,30290.501409874298,1024.32,-4.417292793694065,52.88870674782579
Apartment Block,UKL13,900,494606.3371992691,991.6,-3.7983719165066905,53.28508973680168
Apartment Block,UKL14,900,79544.37788265059,991.62,-4.282935782242978,51.86770817886147
Apartment Block,UKL14,1000,967110.9170300663,1040.8,-4.977464256778894,51.99183077528786
Apartment Block,UKL15,900,1118090.3828289646,974.38,-3.3755439848300806,51.75209518080782
Apartment Block,UKL15,1000,53384.79276839504,1010.68,-3.2666285488385096,51.54250509901774
Apartment Block,UKL16,900,399786.39925411996,990.92,-3.1768151999962604,51.79815034999588
Apartment Block,UKL16,1000,401289.8360571533,1010.575,-3.23644080279835,51.57687920779105
Apartment Block,UKL17,900,86126.4412497268,982.025,-3.6540203499946156,51.60582769999188
Apartment Block,UKL17,1000,1295091.0873364178,1043.18,-3.543096603954923,51.508226373526206
Apartment Block,UKL18,900,30191.381483621662,998.54,-3.894267918137222,51.69617173394367
Apartment Block,UKL18,1000,2477406.6081397976,1028.745,-3.949875300088853,51.61860659998717
Education,UKL11,900,20014.034793123603,985.71,-4.146676260836478,53.2438556753386
Education,UKL11,1000,119110.19224997051,1031.95,-4.459355273208389,53.39042121047086
Education,UKL12,800,8903.000209466089,892.1,-3.9574597858337324,52.9865317476405
Education,UKL12,900,314963.09851141553,976.075,-4.152957347140085,53.21727697998393
Education,UKL12,1000,24108.693838599836,1024.79,-4.418629799861605,52.89194905505659
Education,UKL13,800,416.8915697000921,888.73,-3.853528707636818,53.011777050502644
Education,UKL13,900,401676.43477974186,984.31,-3.4029619447931303,53.33803279144837
Education,UKL14,900,168026.72152132427,986.03,-3.9876410231189543,51.79561871644219
Education,UKL14,1000,493738.75945865875,1027.5,-4.1401090366051605,51.69545883713573
Education,UKL15,900,423555.553030394,974.845,-3.356580483668421,51.770870579432795
Education,UKL15,1000,70080.5906800828,1012.58,-3.3608483831398472,51.55444214366791
Education,UKL16,900,318132.133922559,987.95,-3.121683542521724,51.61678283755915
Education,UKL16,1000,209525.21189736645,1008.87,-3.243150090549133,51.57997196022785
Education,UKL17,900,98939.60608136863,976.75,-3.8796544368442762,51.79350687569727
Education,UKL17,1000,266711.8972658748,1034.14,-3.649267557327197,51.53133197597541
Education,UKL18,900,7886.052931534126,997.91003,-3.894059678663544,51.70121379740719
Education,UKL18,1000,671711.8610664672,1030.95,-3.960709293348652,51.617641818171435
Health,UKL11,1000,8644.661044897512,1030.9299,-4.31140571498624,53.25593021595597
Health,UKL12,900,49698.453739638906,974.895,-4.159936446225441,53.20881062593815
Health,UKL12,1000,2050.4093421064317,1017.08,-4.394967896051727,52.91229480905959
Health,UKL13,900,184614.57858448406,984.76,-3.4102333709763446,53.18620848526643
Health,UKL14,900,2720.06294683367,958.02,-3.936828573446014,52.215498364966386
Health,UKL14,1000,107590.07930623484,1044.005,-4.9666583708228265,51.81314323822368
Health,UKL15,900,80714.88757360331,973.78,-3.3843410976471415,51.76303012125964
Health,UKL15,1000,57784.30037831806,1009.03,-3.3912119803938965,51.54800838251377
Health,UKL16,900,20494.1201993078,972.49,-3.1487872852566436,51.70868924808183
Health,UKL16,1000,52429.59437797312,1005.245,-3.1903749831867185,51.59140369270146
Health,UKL17,900,11082.9273070544,976.31,-3.7662873383471043,51.67936654034221
Health,UKL17,1000,182987.6582377634,1037.15,-3.5691890499899395,51.51866094990138
Health,UKL18,1000,332520.53017257294,1028.72,-4.011684789500493,51.658456248638366
Hotels and Restaurants,UKL11,900,31698.92352239671,988.45,-4.201704499998037,53.22423164998481
Hotels and Restaurants,UKL11,1000,221374.96546968378,1046.25,-4.659385537840752,53.30909968188977
Hotels and Restaurants,UKL12,700,199.02185021154583,799.73,-4.055909953249415,53.09032456552255
Hotels and Restaurants,UKL12,800,19567.927355489926,890.77,-4.1023678034469455,53.011353765294146
Hotels and Restaurants,UKL12,900,160169.9947776082,960.54,-4.057291195758154,52.724128112261994
Hotels and Restaurants,UKL12,1000,29540.75033320021,1015.8,-4.087861981085596,52.57941961489771
Hotels and Restaurants,UKL13,800,3631.6031979303807,885.515,-3.862128768587798,53.009149428125966
Hotels and Restaurants,UKL13,900,283747.58554551087,989.095,-3.4589499198551263,53.31313652143632
Hotels and Restaurants,UKL13,1000,333.1285313218832,1000.75,-3.8487962467895773,53.32767355309849
Hotels and Restaurants,UKL14,900,64913.08804522187,973.19,-4.076176670097304,52.115487289486154
Hotels and Restaurants,UKL14,1000,193819.23418946523,1019.52,-4.806477546847298,51.78483463929718
Hotels and Restaurants,UKL15,900,258394.13388475752,961.48,-3.3452715450325656,51.691260379056516
Hotels and Restaurants,UKL15,1000,41469.533591204614,1015.82,-3.3765457783821478,51.54089628743733
Hotels and Restaurants,UKL16,900,370150.8248408162,990.62,-3.274795647790319,51.60662105568685
Hotels and Restaurants,UKL16,1000,250889.87167056766,1010.59,-3.220910570139302,51.57936568796259
Hotels and Restaurants,UKL17,900,417620.30030914664,980.47,-3.64802121331867,51.606908293984056
Hotels and Restaurants,UKL17,1000,82385.5244035346,1064.58,-3.7000597413117484,51.4799182062499
Hotels and Restaurants,UKL18,1000,256281.21429567807,1027.2,-3.9499102361793366,51.62270571717127
Industrial,UKL11,900,23718.789579415694,996.05,-4.234872884618867,53.22317823257272
Industrial,UKL11,1000,972311.225460656,1025.28,-4.336495749998405,53.41087579997674
Industrial,UKL12,800,45169.74404030014,885.03503,-3.97199306516702,52.98057238866811
Industrial,UKL12,900,309650.93304323626,971.04,-4.106997330872003,53.219260772551884
Industrial,UKL12,1000,8902.730754993856,1020.525,-4.403628399870089,52.89150474993406
Industrial,UKL13,900,674700.8082340462,986.26,-3.4238039790257266,53.3057933795119
Industrial,UKL14,900,398529.4924212629,995.0,-4.0466500999914885,52.400723049780254
Industrial,UKL14,1000,3723443.8031470855,1064.23,-4.957471530238537,51.695957091348916
Industrial,UKL15,900,1343202.961302462,971.775,-3.3423814505056715,51.65979854960646
Industrial,UKL15,1000,1234598.8748483676,1011.015,-3.2529936059686935,51.5683492964668
Industrial,UKL16,900,2240192.0768198995,989.38,-3.238176617410802,51.79853354410484
Industrial,UKL16,1000,2279009.6014699657,1010.51,-3.2319677154246533,51.578110497489654
Industrial,UKL17,900,141637.87617298868,962.475,-3.674573744755587,51.78224511973059
Industrial,UKL17,1000,4807145.293524651,1034.94,-3.7612919500198547,51.56607049993593
Industrial,UKL18,900,58941.85739454441,998.89,-3.9003438999430284,51.69073404998656
Industrial,UKL18,1000,1564634.3257904819,1029.68,-3.9696389228214795,51.63583169941353
Offices,UKL11,900,3870.3234369279817,986.62,-4.104008432049659,53.276364151058154
Offices,UKL11,1000,14680.847664719447,1027.14,-4.452648245179381,53.41155001950157
Offices,UKL12,800,410.09949383791536,856.355,-3.6907608999953854,52.71905019994038
Offices,UKL12,900,32850.6256495663,976.865,-4.1801398990186005,53.20295886760997
Offices,UKL12,1000,1655.2016104566865,1028.5701,-4.56789264747427,52.943322457222415
Offices,UKL13,900,30082.932231471408,980.3,-3.596222854386475,53.28774322978314
Offices,UKL13,1000,1371.4284648299217,1000.425,-3.8439244039948264,53.33065014661594
Offices,UKL14,900,30534.369083553553,987.14,-4.1911419207946325,51.86473985203533
Offices,UKL14,1000,101085.13670160621,1031.8501,-4.165185543507925,51.68425562973781
Offices,UKL15,900,32087.65704449173,976.315,-3.3658161639833786,51.74609762013299
Offices,UKL15,1000,23054.782351724803,1007.89,-3.3312441495190503,51.55988988307797
Offices,UKL16,900,11635.610458113486,986.015,-3.2441961140586324,51.777465030961665
Offices,UKL16,1000,25029.97371539427,1008.685,-3.1812149999969543,51.59423189997707
Offices,UKL17,900,7222.986366517842,978.88,-3.8538657577493325,51.71820670517116
Offices,UKL17,1000,21396.63440412283,1026.74,-3.8761183000027186,51.61937684998667
Offices,UKL18,900,526.6403731182218,994.245,-3.8900145787330382,51.69544770968661
Offices,UKL18,1000,164329.7360551334,1028.31,-4.043871399959018,51.669975049901225
Other non-residential buildings,UKL11,900,144630.9741017337,989.11,-4.237947849962887,53.19360059998496
Other non-residential buildings,UKL11,1000,1295421.8916888274,1031.74,-4.45593545000879,53.39309134997648
Other non-residential buildings,UKL12,800,46808.918358993804,883.28,-4.097350855926808,53.11690616790572
Other non-residential buildings,UKL12,900,549864.4691545843,966.33,-4.148583801630335,53.21043581665092
Other non-residential buildings,UKL12,1000,112920.03383906744,1015.74,-4.096128449974274,52.579015849995095
Other non-residential buildings,UKL13,800,6899.297834503348,889.0,-3.8623879000000243,53.01231154999569
Other non-residential buildings,UKL13,900,794286.0467636345,981.545,-3.689772810370483,53.28483123788331
Other non-residential buildings,UKL14,800,4475.728534271009,884.48,-3.771468850036427,52.3477333999882
Other non-residential buildings,UKL14,900,964816.6155791918,980.99,-4.315039068444742,52.03726332589657
Other non-residential buildings,UKL14,1000,2142650.8455098085,1022.19,-4.585971520469172,52.109355466669165
Other non-residential buildings,UKL15,900,248040.61030560255,974.55,-3.3700567000009163,51.736188399993516
Other non-residential buildings,UKL15,1000,205991.75520440156,1012.9,-3.2429035917076927,51.557749406598646
Other non-residential buildings,UKL16,900,271080.63922301447,985.405,-3.2723556652447474,51.752409766321605
Other non-residential buildings,UKL16,1000,309594.77388837386,1009.29,-3.0274340499989676,51.669637899992544
Other non-residential buildings,UKL17,900,89463.99261512095,980.28,-3.646311349998151,51.5984253499937
Other non-residential buildings,UKL17,1000,1069988.2641204935,1062.55,-3.678400212018161,51.47977594302291
Other non-residential buildings,UKL18,900,3219.0522768832743,997.66504,-3.88507379186638,51.697851890573354
Other non-residential buildings,UKL18,1000,695353.1171438056,1035.77,-3.980556350041716,51.61494784988049
Single family- Terraced houses,UKL11,900,1105958.351137678,988.595,-4.204305473768514,53.22263975633216
Single family- Terraced houses,UKL11,1000,4259369.556034823,1031.12,-4.395028749965926,53.28519214999351
Single family- Terraced houses,UKL12,700,192.2411718443036,791.01,-3.9088323786205574,52.69988359300729
Single family- Terraced houses,UKL12,800,280093.7814197978,885.775,-3.920780443667918,52.997325748226054
Single family- Terraced houses,UKL12,900,3513450.038901087,971.4,-4.110704920949676,52.855055207435655
Single family- Terraced houses,UKL12,1000,1074621.3027303773,1030.79,-4.445465309054009,52.89645684823142
Single family- Terraced houses,UKL13,800,43796.40902834968,890.43994,-3.9802841371192974,53.088849101141925
Single family- Terraced houses,UKL13,900,7497128.143953871,985.74,-3.8457341153942086,53.255674996378836
Single family- Terraced houses,UKL13,1000,3008.437801002059,1000.64,-3.8541112999964686,53.33215349999658
