Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,1292867.8671523836,3.0,11526826.280059274,3878603.6014571507,3497648.0409936635,8.915703277124349
Apartment Block_AB_1_Before1945,Apartment Block,1900,796665.4448483583,4.0,8593730.204771621,3186661.779393433,2850889.0204254817,10.787125587463379
Apartment Block_AB_2_Before1945,Apartment Block,1900,673012.3149386932,4.0,8360836.629585542,2692049.2597547728,1794775.48259814,12.423006896013717
Apartment Block_AB_3_Before1945,Apartment Block,1900,143197.3418269237,7.0,2798054.354616542,1002381.3927884657,360902.0425727353,19.53984842818121
Apartment Block_AB_0_1945to1969,Apartment Block,1955,705958.84156139,3.0,6239046.50398374,2117876.52468417,1864785.202023385,8.837691571628534
Apartment Block_AB_1_1945to1969,Apartment Block,1955,452135.67496788816,4.0,4903611.156813684,1808542.6998715526,1557008.8043186257,10.845441818237305
Apartment Block_AB_2_1945to1969,Apartment Block,1955,404241.09657786804,4.0,4941229.580364816,1616964.3863114722,1065081.8277752185,12.223471641540527
Apartment Block_AB_3_1945to1969,Apartment Block,1955,99252.21658611034,6.0,1905838.3286153453,595513.299516662,204110.2919395065,19.201972451283815
Apartment Block_AB_0_1970to1979,Apartment Block,1975,80858.47152724274,3.0,689077.7703516525,242575.41458172823,228482.6342677366,8.52202320098877
Apartment Block_AB_1_1970to1979,Apartment Block,1975,46707.13516803139,3.0,458740.35593216395,140121.40550409417,164278.94152821155,9.821633338928223
Apartment Block_AB_2_1970to1979,Apartment Block,1975,37135.00578385395,4.0,411713.4221121536,148540.0231354158,79213.79482513429,11.086935720666128
Apartment Block_AB_3_1970to1979,Apartment Block,1975,12204.386891790478,6.0,225316.7855218295,73226.32135074287,44081.494977730435,18.461950405177117
Apartment Block_AB_0_1980to1989,Apartment Block,1985,80828.37005670698,3.0,688821.2449213628,242485.11017012093,228397.57622553717,8.52202320098877
Apartment Block_AB_1_1980to1989,Apartment Block,1985,46689.74733684296,3.0,458569.57902967196,140069.24201052886,164217.78482286382,9.821633338928223
