Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,261223.9082007039,3.0,2240060.7555750413,783671.7246021117,669621.5049643532,8.575251672040503
Apartment Block_AB_1_Before1945,Apartment Block,1900,292448.3229897182,3.0,2894320.509804414,877344.9689691545,652006.4274436049,9.896861367559191
Apartment Block_AB_2_Before1945,Apartment Block,1900,150307.93312562158,4.0,1698262.0669252912,601231.7325024863,393488.4464384349,11.298552455684087
Apartment Block_AB_3_Before1945,Apartment Block,1900,10671.632424783815,8.0,246174.59769840934,85373.05939827052,52631.89283348764,23.068129401336304
Apartment Block_AB_0_1945to1969,Apartment Block,1955,149377.19467024668,3.0,1280947.0383607526,448131.58401074004,382913.5801214317,8.575251672040503
Apartment Block_AB_1_1945to1969,Apartment Block,1955,167232.43433238167,3.0,1655076.2187470275,501697.302997145,372840.6473563088,9.896861367559191
Apartment Block_AB_2_1945to1969,Apartment Block,1955,85951.46417355337,4.0,971127.1266077441,343805.85669421346,225010.7988544696,11.298552455684087
Apartment Block_AB_3_1945to1969,Apartment Block,1955,6102.421961091972,8.0,140771.45946002606,48819.375688735774,30096.802990983884,23.068129401336304
Apartment Block_AB_0_1970to1979,Apartment Block,1975,16346.081962936085,3.0,147673.56635047565,49038.245888808255,50193.75728604804,9.034187316894531
Apartment Block_AB_1_1970to1979,Apartment Block,1975,25483.810840671882,3.0,261631.7190399464,76451.43252201565,60738.98795969439,10.266585350036621
Apartment Block_AB_2_1970to1979,Apartment Block,1975,8748.294448078866,4.0,94693.26090587044,34993.177792315466,19202.91269865416,10.824196815490723
Apartment Block_AB_3_1970to1979,Apartment Block,1975,1229.385835392118,7.0,26970.44667396059,8605.700847744825,4320.280956563896,21.938146591186523
Apartment Block_AB_0_1980to1989,Apartment Block,1985,16339.99674891597,3.0,147618.59138715453,49019.99024674791,50175.071477653604,9.034187316894531
Apartment Block_AB_1_1980to1989,Apartment Block,1985,25474.323891850432,3.0,261534.32047015952,76422.97167555129,60716.37644080331,10.266585350036621
Apartment Block_AB_2_1980to1989,Apartment Block,1985,8745.037689416562,4.0,94658.0091091291,34980.15075766625,19195.76396210397,10.824196815490723
Apartment Block_AB_3_1980to1989,Apartment Block,1985,1228.928167558406,7.0,26960.406289934544,8602.497172908841,4318.6726302195575,21.938146591186523
Apartment Block_AB_0_1990to2000,Apartment Block,1995,33865.19469410614,3.0,285881.1518522818,101595.58408231841,89744.79787919855,8.441739503775429
Apartment Block_AB_1_1990to2000,Apartment Block,1995,31352.635606157284,3.0,270409.46509509976,94057.90681847185,54149.90600921141,8.624776190809126
Apartment Block_AB_2_1990to2000,Apartment Block,1995,27929.051182155574,3.0,289070.0852004987,83787.15354646672,93776.79160356031,10.350157737731934
Apartment Block_AB_3_1990to2000,Apartment Block,1995,21521.594845056676,4.0,272399.61754635634,86086.3793802267,91275.78175826385,12.657036781311035
Apartment Block_AB_0_2000to2010,Apartment Block,2005,14890.001737198965,3.0,121540.42869194454,44670.005211596894,35294.665417130054,8.162553022966144
Apartment Block_AB_1_2000to2010,Apartment Block,2005,15777.983949252703,3.0,130466.61531908403,47333.95184775811,25178.284708343963,8.268902778625488
Apartment Block_AB_2_2000to2010,Apartment Block,2005,9553.591223538568,3.0,86437.82618574085,28660.7736706157,20522.491317121672,9.04767894744873
Apartment Block_AB_3_2000to2010,Apartment Block,2005,3600.6634412624653,4.0,41606.968688921566,14402.653765049861,10666.842604492713,11.555361773643948
Apartment Block_AB_0_Post2010,Apartment Block,2020,7699.476794085157,3.0,64283.65117133023,23098.430382255472,23967.995267132144,8.349093437194824
Apartment Block_AB_1_Post2010,Apartment Block,2020,7087.650324962418,3.0,61369.76040737822,21262.950974887255,15881.627074940185,8.658689070937431
Apartment Block_AB_2_Post2010,Apartment Block,2020,14657.373244292297,3.0,129151.26604546698,43972.11973287689,29942.2981726004,8.811351385607892
Apartment Block_AB_3_Post2010,Apartment Block,2020,3808.4343876929174,3.0,37797.66687966902,11425.303163078752,13035.567596717854,9.924725761802131
SFH_0_Before1945_1900,Single family- Terraced houses,1900,6352833.250677864,1.0,17082100.40326418,6352833.250677864,5744594.311165796,2.688894817354363
SFH_1_Before1945_1900,Single family- Terraced houses,1900,1249407.53204274,2.0,7852620.278946209,2498815.06408548,2735130.1269770097,6.2850751876831055
SFH_2_Before1945_1900,Single family- Terraced houses,1900,1711474.5806362997,2.0,11395114.446357546,3422949.1612725994,3685591.799555013,6.6580681800842285
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,3121707.1019708053,1.0,8157182.646973442,3121707.1019708053,2494461.8289823816,2.6130518913269043
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,710255.4743010752,2.0,4498811.763635799,1420510.9486021504,1555046.4425713788,6.334075450897217
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,972156.776204267,2.0,6468787.090547934,1944313.552408534,2181682.2876004907,6.654057502746583
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,1913608.6518330749,1.0,4928838.5471482575,1913608.6518330749,1604620.2480093392,2.5756773948669434
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,199504.918691075,2.0,1166377.142000476,399009.83738215,406235.4859182131,5.846357822418213
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,181221.24221034668,2.0,1069589.711426541,362442.48442069336,383084.82645909785,5.902121066938992
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,1912896.265940018,1.0,4927003.6709070895,1912896.265940018,1604022.8903274012,2.5756773948669434
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,199430.6482860291,2.0,1165942.9306369617,398861.2965720582,406084.25519026356,5.846357822418213
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,181153.77833451753,2.0,1069191.5314637523,362307.55666903505,382942.21410941385,5.902121066938992
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,1239931.2511781415,1.0,3280097.6356499516,1239931.2511781415,1201645.6296824233,2.6453866958618164
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,995427.5977961662,1.0,3657805.8402595944,995427.5977961662,1210212.7678675964,3.6746076242589805
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,581804.9980023449,2.0,3876583.1319813733,1163609.9960046897,1333362.738849376,6.663028240203858
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,2874466.4807353783,1.0,7544011.340463453,2874466.4807353783,2235092.7707891194,2.624490976333618
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,405674.1127915174,1.0,1309330.5456034006,405674.1127915174,458899.0234396986,3.2275427598612563
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,425785.9218268067,2.0,2640530.250062085,851571.8436536134,899625.1338477705,6.201544284820557
SFH_0_Post2010_2020,Single family- Terraced houses,2020,3076655.8625332317,1.0,7979131.35433373,3076655.8625332317,2357985.3042500047,2.593442916870117
SFH_1_Post2010_2020,Single family- Terraced houses,2020,422788.14577734715,1.0,1364566.8188588421,422788.14577734715,478258.4372565427,3.2275427598612563
SFH_2_Post2010_2020,Single family- Terraced houses,2020,386375.2932143738,2.0,2379654.9662582856,772750.5864287476,781736.6458715447,6.158921152699
0_Other non-residential buildings_1900,Other non-residential buildings,1900,753977.850478956,2.0,5580475.55122846,1507955.700957912,1521095.9881937625,7.401378631591797
0_Other non-residential buildings_1955,Other non-residential buildings,1955,274952.9867346291,3.0,2095236.5334198072,824858.9602038873,636366.5767527083,7.620344693480362
0_Other non-residential buildings_1975,Other non-residential buildings,1975,125065.43648815664,2.0,750134.574617567,250130.8729763133,311586.57410060696,5.997936725616455
0_Other non-residential buildings_1985,Other non-residential buildings,1985,125018.8779336801,2.0,749855.3193537805,250037.7558673602,311470.57865940605,5.997936725616455
0_Other non-residential buildings_1995,Other non-residential buildings,1995,184356.95715253105,2.0,1139590.6552890264,368713.9143050621,369854.64856093214,6.181435585021973
0_Other non-residential buildings_2005,Other non-residential buildings,2005,497465.43782399135,1.0,2041566.6534432266,497465.43782399135,600058.3365133677,4.103936672210693
0_Other non-residential buildings_2020,Other non-residential buildings,2020,533854.3805332475,1.0,2190904.569890717,533854.3805332475,643951.8148726062,4.103936672210693
0_Trade_1900,Trade,1900,343632.35148696764,4.0,3715737.1587022766,1374529.4059478706,844709.1117260208,10.813117980957031
0_Trade_1955,Trade,1955,196246.66676110367,4.0,2122038.3610573728,784986.6670444147,482409.02476625866,10.813117980957031
0_Trade_1975,Trade,1975,58966.698499889375,3.0,613556.5237542429,176900.09549966812,103520.4931314229,10.405136108398438
0_Trade_1985,Trade,1985,58944.74675749355,3.0,613328.1128867979,176834.24027248065,103481.95518957231,10.405136108398438
0_Trade_1995,Trade,1995,93013.17781112035,3.0,754534.1184306208,279039.53343336104,161718.40334514529,8.112120628356934
0_Trade_2005,Trade,2005,79412.66012121002,2.0,445070.25691576616,158825.32024242004,102563.94117360217,5.604525226033752
0_Trade_2020,Trade,2020,81410.69885040804,2.0,439301.48443658534,162821.39770081607,97523.87389964558,5.396114892021757
0_Education_1900,Education,1900,197912.07716509234,3.0,1560361.7617975355,593736.231495277,252045.45229987754,7.884115937482321
0_Education_1955,Education,1955,112322.49053721021,3.0,893594.9498398224,336967.47161163064,150347.80355732449,7.955619088981936
0_Education_1975,Education,1975,29844.713734036748,2.0,168108.0077195741,59689.427468073496,13170.298053837885,5.632756581875113
0_Education_1985,Education,1985,29833.603336398195,2.0,168045.42555414827,59667.20667279639,13165.395100179143,5.632756581875113
0_Education_1995,Education,1995,52722.91219772042,2.0,336800.52884030255,105445.82439544084,57051.844641893666,6.388124532598653
0_Education_2005,Education,2005,65911.45081534269,2.0,348320.04955201456,131822.90163068537,55929.02634835119,5.284666704240314
0_Education_2020,Education,2020,62015.1659194128,2.0,317080.7892171669,124030.3318388256,42577.78397471312,5.112955589431231
0_Offices_1900,Offices,1900,118038.23944454652,3.0,1187006.6908611315,354114.71833363955,334072.6067221316,10.056119918823242
0_Offices_1955,Offices,1955,66657.85096699094,3.0,670319.3428551087,199973.55290097283,188655.4911004042,10.056119918823242
0_Offices_1975,Offices,1975,13379.051790373893,3.0,124826.51390567356,40137.15537112168,20385.03073942475,9.329997062683105
0_Offices_1985,Offices,1985,13374.071123219815,3.0,124780.04429575583,40122.21336965945,20377.441931590718,9.329997062683105
0_Offices_1995,Offices,1995,26895.356326622594,3.0,233329.81512391774,80686.06897986778,51514.06943475205,8.675468444824219
0_Offices_2005,Offices,2005,46451.51469894698,2.0,312866.6397636046,92903.02939789396,79126.23729979299,6.735337734222412
0_Offices_2020,Offices,2020,35465.930092153845,2.0,198155.68042400957,70931.86018430769,41522.34680684867,5.587212288219327
0_Sport_1900,Sport,1900,23750.15788561063,2.0,161017.98022596934,47500.31577122126,32986.80852939344,6.779659360644687
0_Sport_1955,Sport,1955,13571.071588433886,2.0,92007.24252850495,27142.143176867772,18848.98374918109,6.779659360644687
0_Sport_1975,Sport,1975,3319.3503099354357,2.0,17469.380321527336,6638.700619870871,2472.4044170756206,5.262891436688142
0_Sport_1985,Sport,1985,3318.1146035998445,2.0,17462.87693323549,6636.229207199689,2471.484006297289,5.262891436688142
0_Sport_1995,Sport,1995,5417.537313741439,2.0,31362.457375087135,10835.074627482878,4660.544819221519,5.789061626864497
0_Sport_2005,Sport,2005,6456.266598878285,2.0,38717.81658795374,12912.53319775657,9689.326868437478,5.996935844421387
0_Sport_2020,Sport,2020,14390.54487872286,2.0,104727.3082896702,28781.08975744572,12497.07673923034,7.277508195295284
0_Hotels and Restaurants_1900,Hotels and Restaurants,1900,57466.940748157125,3.0,464249.7928666521,172400.82224447138,113603.06450986475,8.078554153442383
0_Hotels and Restaurants_1955,Hotels and Restaurants,1955,32812.652959792445,3.0,265078.79385379475,98437.95887937733,64865.431888344334,8.078554153442383
0_Hotels and Restaurants_1975,Hotels and Restaurants,1975,9217.439061957748,2.0,61968.8564562969,18434.878123915496,24545.959871335224,6.723001480102539
0_Hotels and Restaurants_1985,Hotels and Restaurants,1985,9214.007653162873,2.0,61945.78708989012,18428.015306325746,24536.8220596269,6.723001480102539
0_Hotels and Restaurants_1995,Hotels and Restaurants,1995,18835.217842263777,2.0,107079.89944984287,37670.435684527554,33865.31060738636,5.6850895140469
0_Hotels and Restaurants_2005,Hotels and Restaurants,2005,8619.746021898636,2.0,46034.796379327214,17239.492043797272,16083.591357341624,5.340620972169586
0_Hotels and Restaurants_2020,Hotels and Restaurants,2020,8882.115631905694,2.0,46179.25783084915,17764.231263811387,13322.278336865975,5.1991281969993
0_Health_1900,Health,1900,52242.416218051534,3.0,517513.23276367085,156727.2486541546,83476.05013711822,9.905997276306152
0_Health_1955,Health,1955,29874.08630090662,3.0,295932.61752891593,89622.25890271986,47734.59779207905,9.905997276306152
0_Health_1975,Health,1975,4787.828569330281,3.0,43052.76657239605,14363.485707990843,11115.998458163045,8.992127840203404
0_Health_1985,Health,1985,4786.046187374651,3.0,43036.739165990955,14358.138562123951,11111.860265914984,8.992127840203404
0_Health_1995,Health,1995,24512.89685616664,3.0,233112.69872082927,73538.69056849992,40710.859525879656,9.509798049926758
0_Health_2005,Health,2005,11745.78845585468,3.0,120237.68770415083,35237.36536756404,30491.522588265052,10.236663818359375
0_Health_2020,Health,2020,7660.166356487888,3.0,73179.32312415769,22980.499069463665,22662.92422900251,9.553228966388884
