Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,UKM61,800,159650.24258536322,849.67,-3.0912069329120544,58.44275566966413
Apartment Block,UKM62,800,1691271.9288194575,855.57,-4.241010715164987,57.48772114876637
Apartment Block,UKM63,800,107411.2661708747,861.42,-4.930828318269802,55.94929193908783
Apartment Block,UKM63,900,10922.720765425125,941.87,-5.606522559520555,55.42457655428029
Apartment Block,UKM64,800,2847.4153719618917,841.91,-6.384717628484975,58.2083025691594
Education,UKM61,700,967.0805716849864,789.9,-5.2913664977534625,57.60610842503754
Education,UKM61,800,145883.04513859772,846.51,-4.049039200223478,57.8093408328095
Education,UKM62,800,415204.0661872616,855.87,-4.175747291889682,57.450466886646154
Education,UKM63,700,4974.184961088933,789.91,-5.134767722136092,56.672526125107545
Education,UKM63,800,87250.62448402401,853.14,-5.2358954096246615,56.429458479663175
Education,UKM63,900,34219.613561922684,924.8,-5.740299216081634,55.67627695140951
Education,UKM64,800,55175.887374628335,842.06,-6.381294448349424,58.20934416292229
Education,UKM64,900,7711.674101518933,906.46,-7.499159849909634,56.95562464990665
Education,UKM65,800,48820.26007680502,839.38,-3.0877538243232814,59.103634854328874
Education,UKM66,700,4221.461899817921,797.07,-1.0159661860622264,60.34188036215623
Education,UKM66,800,36926.189490889665,816.54504,-1.1543793869900696,60.15254095210467
Health,UKM61,800,17799.62079011835,851.78,-3.0980491026595867,58.432860484835594
Health,UKM62,800,153643.6709784083,853.87,-4.190456666785537,57.474127205156755
Health,UKM63,800,12404.222740040626,875.91504,-5.423126741845721,56.04013997908035
Health,UKM63,900,11968.78694000654,909.945,-5.115116464057983,55.54293739520392
Health,UKM64,800,16921.845901594497,842.33,-6.3839381815739955,58.22088897360111
Health,UKM64,900,951.3815818247385,907.97,-7.497065901029668,56.95197762230804
Health,UKM65,800,20640.576226212317,832.94,-2.9648699633304467,58.97597902233361
Health,UKM66,800,5071.8041375130415,817.42,-1.15577467020704,60.151024856564696
Hotels and Restaurants,UKM61,700,1912.2270720675588,778.71497,-5.22115193369162,57.84168814316692
Hotels and Restaurants,UKM61,800,41728.08448444167,849.64,-5.70608599071052,57.73301162090798
Hotels and Restaurants,UKM62,700,54.00574164092541,798.45,-5.183520720140121,57.23240559831386
Hotels and Restaurants,UKM62,800,93624.40929552843,856.66,-4.113625499752949,57.06783856653196
Hotels and Restaurants,UKM63,700,992.7113359106588,787.36,-5.103995733099844,56.68233440822225
Hotels and Restaurants,UKM63,800,164737.6647784505,835.02,-5.103996652398178,56.83836046694959
Hotels and Restaurants,UKM63,900,71828.47281539603,940.95,-5.612530976211715,55.42958469791378
Hotels and Restaurants,UKM64,800,18806.933729801327,843.09,-6.349920146243395,58.24203295511324
Hotels and Restaurants,UKM64,900,4021.5656443368644,906.32,-7.500091306958705,56.954493889822565
Hotels and Restaurants,UKM65,800,44102.27602444962,832.21,-2.959121692876084,58.97463375260661
Hotels and Restaurants,UKM66,800,4634.816138671711,810.45,-1.0613005841673118,60.596428723475896
Industrial,UKM61,700,2791.9631972070783,786.57,-4.78055664500111,57.73361890974725
Industrial,UKM61,800,1454740.6072799945,850.37,-4.475433494422288,57.52261859760068
Industrial,UKM62,800,2389623.861603507,857.46497,-3.0232243999984374,57.65549194994437
Industrial,UKM63,700,22970.443171400577,772.78,-5.1435278500005985,56.67602509995801
Industrial,UKM63,800,345282.37953961664,851.085,-5.91549873379354,57.24425787175846
Industrial,UKM63,900,110526.70166731905,935.28503,-6.12598437575167,55.63554952199833
Industrial,UKM64,800,118918.01028122008,841.69,-6.37556476752344,58.18932360056571
Industrial,UKM64,900,321.1637107990682,905.115,-7.412851415723612,56.98530385509513
Industrial,UKM65,800,193193.35547463264,833.61,-2.954180019725999,58.96802551384554
Industrial,UKM66,700,9770.61555298767,797.28,-1.2672610873910686,60.135874297681056
Industrial,UKM66,800,371985.87104770134,811.57,-1.1657226499975473,60.16434294988888
Offices,UKM61,700,1754.6388566652313,783.97,-5.223238800003167,57.628654749992464
Offices,UKM61,800,27817.01437934814,849.83,-3.4257581887810944,58.46408986253462
Offices,UKM62,700,72.15958968177438,795.47,-5.0018672354705815,57.14058064036952
Offices,UKM62,800,130628.06081269984,855.19,-4.222104827399339,57.46264239362532
Offices,UKM63,700,704.8526415172964,780.48,-5.500159433770011,57.248519201513
Offices,UKM63,800,20628.898416811135,851.47,-5.903366649224073,57.24042455637116
Offices,UKM63,900,4933.102883996442,923.65,-5.734620508153624,55.422880111030864
Offices,UKM64,800,3363.307117071934,842.21,-6.384330149498604,58.224021600074146
Offices,UKM64,900,784.4131469018757,903.94,-7.5361757522309665,56.927321302026876
