Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
Apartment Block_AB_0_Before1945,Apartment Block,1900,880830.8297502104,3.0,7979115.4006321095,2642492.489250631,1924648.915022164,9.058624120700747
Apartment Block_AB_1_Before1945,Apartment Block,1900,415411.80300960393,4.0,4405144.458913404,1661647.2120384157,1705493.968838777,10.604283332824707
Apartment Block_AB_2_Before1945,Apartment Block,1900,330165.14041564387,5.0,4466267.511096981,1650825.7020782193,1036156.015217422,13.527374529831983
Apartment Block_AB_3_Before1945,Apartment Block,1900,203136.9231976001,5.0,2873474.8467842233,1015684.6159880004,652364.9220365365,14.145507382668535
Apartment Block_AB_0_1945to1969,Apartment Block,1955,503690.643147638,3.0,4562744.209388467,1511071.929442914,1100583.2415241774,9.058624120700747
Apartment Block_AB_1_1945to1969,Apartment Block,1955,237547.36001731927,4.0,2519019.510588169,950189.4400692771,975262.587360199,10.604283332824707
Apartment Block_AB_2_1945to1969,Apartment Block,1955,188800.26255217043,5.0,2553971.8628738215,944001.3127608522,592511.1520610151,13.527374529831983
Apartment Block_AB_3_1945to1969,Apartment Block,1955,116160.97443075117,5.0,1643155.9213881616,580804.8721537559,373045.6474153212,14.145507382668535
Apartment Block_AB_0_1970to1979,Apartment Block,1975,91070.07338979711,3.0,856219.3493156487,273210.2201693913,197107.2076859595,9.401764130032795
Apartment Block_AB_1_1970to1979,Apartment Block,1975,48440.90388503981,4.0,525352.5180240057,193763.61554015923,220893.48755004464,10.84522533416748
Apartment Block_AB_2_1970to1979,Apartment Block,1975,42013.93442578508,5.0,575555.7142579841,210069.67212892542,139376.64575567588,13.699162483215332
Apartment Block_AB_3_1970to1979,Apartment Block,1975,24441.633832861764,5.0,364284.95204768947,122208.16916430883,80550.672630245,14.904279907749396
Apartment Block_AB_0_1980to1989,Apartment Block,1985,91036.1704099478,3.0,855900.6014958001,273108.51122984337,197033.82988531,9.401764130032795
Apartment Block_AB_1_1980to1989,Apartment Block,1985,48422.87061760993,4.0,525156.9431752174,193691.48247043972,220811.25474646274,10.84522533416748
Apartment Block_AB_2_1980to1989,Apartment Block,1985,41998.29374911482,5.0,575341.4500869308,209991.4687455741,139324.7595164687,13.699162483215332
Apartment Block_AB_3_1980to1989,Apartment Block,1985,24432.534858978517,5.0,364149.33839406027,122162.67429489258,80520.68574509841,14.904279907749396
Apartment Block_AB_0_1990to2000,Apartment Block,1995,62052.28827738268,3.0,553670.769173418,186156.86483214804,180902.29336852126,8.922648697473168
Apartment Block_AB_1_1990to2000,Apartment Block,1995,81029.84308388777,3.0,759428.4577317387,243089.5292516633,98828.91998060497,9.372206940417312
Apartment Block_AB_2_1990to2000,Apartment Block,1995,22666.13234910468,4.0,243201.64530038598,90664.52939641871,89434.54656914629,10.729737281799316
Apartment Block_AB_3_1990to2000,Apartment Block,1995,11318.25341988185,5.0,181595.59144032857,56591.267099409255,65018.28582911622,16.04448890686035
Apartment Block_AB_0_2000to2010,Apartment Block,2005,45567.377718847776,3.0,394401.93815299857,136702.13315654334,65644.26572931593,8.655357360839844
Apartment Block_AB_1_2000to2010,Apartment Block,2005,34706.219961730734,3.0,308731.34784620866,104118.6598851922,113873.93139993292,8.895562472278321
Apartment Block_AB_2_2000to2010,Apartment Block,2005,12514.784495182324,4.0,132402.10388589828,50059.1379807293,46408.67458294399,10.579655122057245
Apartment Block_AB_3_2000to2010,Apartment Block,2005,8562.944062874009,5.0,127731.7446021858,42814.72031437004,30478.558351250744,14.916802406311035
Apartment Block_AB_0_Post2010,Apartment Block,2020,37861.84923752561,3.0,325995.56826629094,113585.54771257684,57229.8587636057,8.610133282744954
Apartment Block_AB_1_Post2010,Apartment Block,2020,28550.6575077196,3.0,247318.3296909944,85651.9725231588,94950.93555086396,8.662439021732647
Apartment Block_AB_2_Post2010,Apartment Block,2020,13601.193416139638,4.0,150684.80058935535,54404.773664558554,50966.9721547107,11.078792572021484
Apartment Block_AB_3_Post2010,Apartment Block,2020,11821.760573312295,4.0,153901.69536894467,47287.04229324918,39020.869101526056,13.018508911132812
SFH_0_Before1945_1900,Single family- Terraced houses,1900,13576195.508545874,1.0,37060978.03922992,13576195.508545874,13525886.171806203,2.7298500537872314
SFH_1_Before1945_1900,Single family- Terraced houses,1900,4337610.80307058,2.0,26326654.988375507,8675221.60614116,9420704.813313259,6.069390773773193
SFH_2_Before1945_1900,Single family- Terraced houses,1900,5280608.6324595865,2.0,37034265.64767342,10561217.264919173,12431990.815981222,7.013257036324562
SFH_0_1945to1969_1955,Single family- Terraced houses,1955,7006579.103426696,1.0,18986469.851677887,7006579.103426696,6773349.30532492,2.709805965423584
SFH_1_1945to1969_1955,Single family- Terraced houses,1955,2465622.172744123,2.0,14986630.179772483,4931244.345488246,5399732.280950311,6.078234672546387
SFH_2_1945to1969_1955,Single family- Terraced houses,1955,3020871.8808490704,2.0,21186150.974199757,6041743.761698141,7111955.097016742,7.013257036324562
SFH_0_1970to1979_1975,Single family- Terraced houses,1975,3716817.4256239994,1.0,9762337.401713453,3716817.4256239994,3400144.189321323,2.626531326077847
SFH_1_1970to1979_1975,Single family- Terraced houses,1975,776530.0633342706,2.0,4470682.688380808,1553060.1266685412,1623731.126374086,5.75725641475432
SFH_2_1970to1979_1975,Single family- Terraced houses,1975,663620.2848340647,2.0,4387704.159343903,1327240.5696681293,1630842.669815419,6.611769199371338
SFH_0_1980to1989_1985,Single family- Terraced houses,1985,3715433.7527928036,1.0,9758703.141677273,3715433.7527928036,3398878.4055611417,2.626531326077847
SFH_1_1980to1989_1985,Single family- Terraced houses,1985,776240.9817281,2.0,4469018.3714492945,1552481.9634562,1623126.6542175463,5.75725641475432
SFH_2_1980to1989_1985,Single family- Terraced houses,1985,663373.2365523748,2.0,4386070.733124268,1326746.4731047496,1630235.550219331,6.611769199371338
SFH_0_1990to2000_1995,Single family- Terraced houses,1995,5369569.448377326,1.0,14910538.770841392,5369569.448377326,5323408.597857736,2.7768592834472656
SFH_1_1990to2000_1995,Single family- Terraced houses,1995,1921841.9936688663,2.0,10824014.742535869,3843683.9873377327,3954449.9676527586,5.632104396820068
SFH_2_1990to2000_1995,Single family- Terraced houses,1995,1120191.7625920596,2.0,6929447.341709699,2240383.525184119,2495080.3536519385,6.185947418212891
SFH_0_2000to2010_2005,Single family- Terraced houses,2005,6173938.749426923,1.0,16326635.213141717,6173938.749426923,5407407.802855493,2.644443988800049
SFH_1_2000to2010_2005,Single family- Terraced houses,2005,1606053.1306122402,1.0,6321585.354292503,1606053.1306122402,2320564.7330636117,3.936099767684936
SFH_2_2000to2010_2005,Single family- Terraced houses,2005,1500513.269029362,2.0,8857003.068620307,3001026.538058724,3227399.2034371393,5.902648947816132
SFH_0_Post2010_2020,Single family- Terraced houses,2020,6719007.675292427,1.0,17606448.942915615,6719007.675292427,5836329.535625378,2.620394229888916
SFH_1_Post2010_2020,Single family- Terraced houses,2020,680099.3686434737,2.0,3757326.6302915984,1360198.7372869474,1342255.6005415171,5.5246730162181485
