Building_Use,Region,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
Apartment Block,XK001,1400,4683094.441335414,1449.96,21.154145817887034,42.643261020144394
Apartment Block,XK002,1300,71394.35342510091,1382.17,20.799349932964088,43.10732169838571
Apartment Block,XK002,1400,1189802.5617049173,1423.64,20.869818513000393,42.882118233973095
Apartment Block,XK003,1200,2761.9595039910637,1298.44,20.279349570670366,42.65778217499575
Apartment Block,XK003,1300,3378710.7371127317,1346.44,20.29913439921156,42.643121433058
Apartment Block,XK003,1400,31119.26704548765,1460.245,20.57748743191765,42.618095414121605
Apartment Block,XK004,1300,1761.2826518523507,1398.31,20.670370638891576,41.944398975920166
Apartment Block,XK004,1400,968185.2154177215,1446.135,20.732522400002694,42.20363419999133
Apartment Block,XK005,1400,92088.6921403613,1422.66,21.25782845002265,42.22973189995787
Apartment Block,XK006,1400,480667.5369687736,1423.8,21.468292749997204,42.4635247499819
Apartment Block,XK007,1400,1387733.4989040417,1477.9,20.426620635354233,42.38200357393021
Education,XK001,1300,12956.529491383582,1388.8301,21.158121878293073,42.9510121310018
Education,XK001,1400,468057.0088892211,1445.4,21.198697451948597,42.50615765159373
Education,XK002,1300,16906.5665315371,1382.23,20.802346667057616,43.10253843090251
Education,XK002,1400,141593.4273845926,1423.755,20.859431461678103,42.880816963554444
Education,XK003,1200,728.7983685173094,1292.33,20.27228465922146,42.661067083110595
Education,XK003,1300,48601.72252675705,1368.75,20.293485359829855,42.576972963893986
Education,XK003,1400,29022.436635113787,1454.465,20.35251913489128,42.51991145081654
Education,XK004,1400,104137.94946181774,1454.8401,20.836898264935645,42.38607052589651
Education,XK005,1300,4563.227316770703,1355.51,20.995603599974046,42.218592699973634
Education,XK005,1400,89635.6694231811,1426.14,21.15472218959298,42.36911989933834
Education,XK006,1400,134734.8905929802,1423.275,21.454550170867293,42.41319816816195
Education,XK007,1400,171270.35590527952,1465.36,20.773015838133265,42.558823836081615
Health,XK001,1400,122042.42175582098,1450.14,21.14734676423062,42.62600579296407
Health,XK002,1400,7789.345142697915,1421.27,20.874093648459567,42.886097406230725
Health,XK003,1200,2383.503604322672,1298.6,20.272456854580433,42.661799571548265
Health,XK003,1300,2532.898438518867,1327.26,20.28855932552916,42.63033907393772
Health,XK003,1400,2892.062085052952,1443.475,20.370547726887555,42.525006031747466
Health,XK004,1300,228.74943426065147,1393.74,20.70670103220524,41.99104310377345
Health,XK004,1400,33563.437155635096,1454.16,20.672940900017082,42.28958009998198
Health,XK005,1300,239.81957586109638,1395.63,21.18767719883227,42.27200234608546
Health,XK005,1400,5866.98374864459,1427.04,21.15864581704065,42.36622244023378
Health,XK006,1400,23508.69992646668,1423.065,21.463537183607873,42.45925336355684
Health,XK007,1400,27316.864996972028,1478.4451,20.428212345694117,42.37999299972195
Hotels and Restaurants,XK001,1400,43900.58848214056,1450.77,21.149934249995862,42.6562718999911
Hotels and Restaurants,XK002,1300,3688.0559707805514,1392.52,20.75976275490429,42.90498987130577
Hotels and Restaurants,XK002,1400,11117.269730069675,1420.51,20.866657850519044,42.898293989408415
Hotels and Restaurants,XK003,1200,1067.1647775638849,1263.31,20.074306199997597,42.69116039999579
Hotels and Restaurants,XK003,1300,10856.87953184219,1325.035,20.1494989282296,42.640789945942934
Hotels and Restaurants,XK003,1400,10125.101187959313,1431.0449,20.38932685643824,42.722501407255024
Hotels and Restaurants,XK004,1300,1414.1274633035064,1358.29,20.681264350021294,41.941467449973324
Hotels and Restaurants,XK004,1400,20116.752451315057,1453.8799,20.750049016665432,42.21883999405725
Hotels and Restaurants,XK005,1400,801.452233446762,1425.275,21.131979663616978,42.38503014865311
Hotels and Restaurants,XK006,1300,650.1006407048553,1399.85,21.53784105879458,42.487582249952816
Hotels and Restaurants,XK006,1400,6108.196573955007,1420.8401,21.46944017011895,42.33023144527909
Hotels and Restaurants,XK007,1200,97.55263963155448,1285.01,20.112918432195492,42.54702574343073
Hotels and Restaurants,XK007,1300,250.82189247012138,1362.72,20.168857979145333,42.52178024789091
Hotels and Restaurants,XK007,1400,6735.409038197249,1467.78,20.56775206966605,42.34829022553085
Industrial,XK001,1300,3177.6343332231045,1383.7,21.337406542196227,42.74057832545875
